burnName,date,y,x,lat,lon,predicted_prob
0476_HOAG,0718,164,187,45.627738029413266,-120.44748369531341,0.8655787110328674
0476_HOAG,0718,491,879,45.53952756011022,-120.18099483217149,0.8945823311805725
0476_HOAG,0718,624,385,45.50364990745791,-120.37123399169766,0.892143726348877
0476_HOAG,0718,645,389,45.49798501493386,-120.36969359364483,0.8432996869087219
0476_HOAG,0718,671,621,45.49097133847552,-120.2803505065799,0.5951878428459167
0476_HOAG,0718,550,849,45.52361190968551,-120.19254781756783,0.8047163486480713
0476_HOAG,0718,539,501,45.526579234340964,-120.3265624481652,0.8868415951728821
0476_HOAG,0718,555,426,45.522263125751216,-120.35544491165602,0.9083965420722961
0476_HOAG,0718,457,842,45.548699290863446,-120.1952435141603,0.7960183024406433
0476_HOAG,0718,419,689,45.5589500487641,-120.25416373968156,0.7768405079841614
0476_HOAG,0718,529,265,45.52927680220956,-120.41744593328296,0.8157178163528442
0476_HOAG,0718,867,514,45.43809900825106,-120.32155615449346,0.8701909780502319
0476_HOAG,0718,867,516,45.43809900825106,-120.32078595546704,0.8681505918502808
0476_HOAG,0718,430,548,45.55598272410865,-120.30846277104429,0.8734246492385864
0476_HOAG,0718,393,811,45.56596372522245,-120.20718159906984,0.5573086738586426
0476_HOAG,0718,876,493,45.43567119716933,-120.32964324427088,0.7456418871879578
0476_HOAG,0718,634,378,45.50095233958932,-120.37392968829013,0.9285134673118591
0476_HOAG,0718,444,513,45.55220612909262,-120.32194125400667,0.717477560043335
0476_HOAG,0718,471,280,45.54492269584741,-120.4116694405848,0.7952958345413208
0476_HOAG,0718,414,296,45.5602988326984,-120.40550784837343,0.8320919275283813
0476_HOAG,0718,360,193,45.57486569918881,-120.44517309823415,0.7612150311470032
0476_HOAG,0718,407,292,45.56218713020642,-120.40704824642627,0.7846773862838745
0476_HOAG,0718,188,437,45.62126386652864,-120.3512088170107,0.695101797580719
0476_HOAG,0718,557,455,45.521723612177496,-120.3442770257729,0.8941259980201721
0476_HOAG,0718,864,566,45.438908278611635,-120.3015309798065,0.8647326231002808
0476_HOAG,0718,388,731,45.56731250915675,-120.2379895601267,0.5199099183082581
0476_HOAG,0718,354,268,45.576484239909966,-120.41629063474333,0.736384391784668
0476_HOAG,0718,297,151,45.59186037676096,-120.461347277789,0.7915330529212952
0476_HOAG,0718,743,383,45.47154884982164,-120.37200419072408,0.7100558280944824
0476_HOAG,0718,354,584,45.576484239909966,-120.2945991885687,0.7965732216835022
0476_HOAG,0718,408,573,45.561917373419554,-120.29883528321402,0.791182816028595
0476_HOAG,0718,416,614,45.55975931912468,-120.28304620317238,0.688815176486969
0476_HOAG,0718,368,291,45.57270764489394,-120.40743334593948,0.729242205619812
0476_HOAG,0718,404,520,45.562996400566995,-120.31924555741419,0.8574877977371216
0476_HOAG,0718,403,820,45.56326615735386,-120.20371570345094,0.6881564855575562
0476_HOAG,0718,341,188,45.579991078139145,-120.4470985958002,0.776790201663971
0476_HOAG,0718,628,742,45.50257088031047,-120.23375346548139,0.79664546251297
0476_HOAG,0718,540,877,45.52630947755411,-120.18176503119791,0.5104918479919434
0476_HOAG,0718,624,580,45.50364990745791,-120.29613958662155,0.5629283785820007
0476_HOAG,0718,647,387,45.49744550136015,-120.37046379267125,0.8505874276161194
0476_HOAG,0718,639,652,45.49960355565502,-120.26841242167036,0.837809145450592
0476_HOAG,0718,312,594,45.587814024958064,-120.2907481934366,0.8087392449378967
0476_HOAG,0718,833,481,45.44727073900428,-120.33426443842941,0.7281992435455322
0476_HOAG,0718,632,597,45.50149185316304,-120.28959289489696,0.8311222791671753
0476_HOAG,0718,442,836,45.55274564266634,-120.19755411123957,0.7899497151374817
0476_HOAG,0718,461,525,45.547620263716006,-120.31732005984814,0.677446186542511
0476_HOAG,0718,419,494,45.5589500487641,-120.32925814475767,0.8213975429534912
0476_HOAG,0718,549,442,45.52388166647237,-120.34928331944464,0.9252397418022156
0476_HOAG,0718,657,839,45.494747933491546,-120.19639881269993,0.8003937602043152
0476_HOAG,0718,327,164,45.58376767315517,-120.45634098411726,0.5732830166816711
0476_HOAG,0718,188,281,45.62126386652864,-120.41128434107159,0.8273136019706726
0476_HOAG,0718,220,148,45.61263164934914,-120.46250257632863,0.8204913139343262
0476_HOAG,0718,232,628,45.609394567906826,-120.27765480998742,0.7998691201210022
0476_HOAG,0718,216,562,45.613710676496574,-120.30307137785934,0.800413966178894
0476_HOAG,0718,215,557,45.61398043328344,-120.30499687542539,0.8047938942909241
0476_HOAG,0718,662,859,45.49339914955725,-120.18869682243572,0.7899497151374817
0476_HOAG,0718,486,877,45.54087634404452,-120.18176503119791,0.9064114093780518
0476_HOAG,0718,605,614,45.508775286408245,-120.28304620317238,0.8437366485595703
0476_HOAG,0718,393,726,45.56596372522245,-120.23991505769276,0.6324901580810547
