burnName,date,y,x,lat,lon,predicted_prob
5-4,0726,444,408,37.02893015350161,-118.3311089664977,0.6009048223495483
5-4,0726,445,433,37.02866039671475,-118.32266347315368,0.9867496490478516
5-4,0726,572,460,36.9944012847836,-118.31354234034215,0.9709861278533936
5-4,0726,534,473,37.004652042684256,-118.30915068380327,0.9940184950828552
5-4,0726,432,414,37.03216723494393,-118.32908204809513,0.7946828603744507
5-4,0726,414,489,37.037022857107395,-118.3037455680631,0.94975745677948
5-4,0726,606,499,36.985229554030376,-118.3003673707255,0.9899817109107971
5-4,0726,501,435,37.01355401665062,-118.32198783368617,0.98957759141922
5-4,0726,565,483,36.99628958229162,-118.30577248646567,0.9801969528198242
5-4,0726,558,489,36.998177879799634,-118.3037455680631,0.9806522130966187
5-4,0726,549,467,37.000605690881365,-118.31117760220583,0.981336236000061
5-4,0726,418,498,37.035943829959955,-118.30070519045927,0.9764543175697327
5-4,0726,474,583,37.02083744989583,-118.27199051308963,0.9894264936447144
5-4,0726,535,439,37.0043822858974,-118.32063655475112,0.9178820848464966
5-4,0726,418,441,37.035943829959955,-118.3199609152836,0.9601577520370483
5-4,0726,563,452,36.99682909586534,-118.31624489821225,0.9640230536460876
5-4,0726,593,497,36.98873639225955,-118.30104301019303,0.9903463125228882
5-4,0726,431,576,37.03243699173078,-118.27435525122596,0.9945979118347168
5-4,0726,414,568,37.037022857107395,-118.27705780909604,0.9899535179138184
5-4,0726,595,554,36.988196878685834,-118.28178728536868,0.9946168065071106
5-4,0726,551,467,37.000066177307644,-118.31117760220583,0.9733691215515137
5-4,0726,431,478,37.03243699173078,-118.30746158513448,0.9673372507095337
5-4,0726,448,585,37.02785112635417,-118.2713148736221,0.9940908551216125
5-4,0726,597,592,36.98765736511211,-118.26895013548578,0.9740697145462036
5-4,0726,457,578,37.02542331527244,-118.27367961175842,0.987901508808136
5-4,0726,410,481,37.038101884254836,-118.30644812593319,0.9194071888923645
5-4,0726,420,553,37.03540431638624,-118.28212510510244,0.9959657192230225
5-4,0726,629,547,36.97902514793261,-118.284152023505,0.9923892617225647
5-4,0726,522,578,37.00788912412657,-118.27367961175842,0.9788690209388733
5-4,0726,630,518,36.97875539114575,-118.29394879578406,0.9946613311767578
5-4,0726,439,584,37.03027893743591,-118.27165269335588,0.9940696358680725
5-4,0726,425,482,37.034055532451944,-118.30611030619943,0.9134119153022766
5-4,0726,630,523,36.97875539114575,-118.29225969711526,0.9949506521224976
5-4,0726,384,455,37.04511556071318,-118.31523143901096,0.9166545271873474
5-4,0726,400,504,37.04079945212343,-118.2986782720567,0.9873401522636414
5-4,0726,497,604,37.01463304379806,-118.26489629868065,0.8184055089950562
5-4,0726,530,448,37.0057310698317,-118.31759617714728,0.9631037712097168
5-4,0726,434,406,37.03162772137021,-118.33178460596521,0.7520288825035095
5-4,0726,594,574,36.98846663547269,-118.27503089069347,0.9908269047737122
5-4,0726,492,439,37.015981827732354,-118.32063655475112,0.9881954193115234
5-4,0726,465,493,37.02326526097756,-118.30239428912806,0.9875006675720215
5-4,0726,457,454,37.02542331527244,-118.31556925874472,0.990147054195404
5-4,0726,441,469,37.02973942386219,-118.31050196273831,0.9627423882484436
5-4,0726,610,585,36.98415052688294,-118.2713148736221,0.9748629331588745
5-4,0726,616,578,36.98253198616178,-118.27367961175842,0.9861121773719788
5-4,0726,465,422,37.02326526097756,-118.32637949022505,0.861223042011261
5-4,0726,474,476,37.02083744989583,-118.30813722460199,0.987560510635376
5-4,0726,592,517,36.98900614904641,-118.29428661551782,0.9949159026145935
5-4,0726,497,550,37.01463304379806,-118.28313856430373,0.9895737767219543
5-4,0726,591,581,36.98927590583327,-118.27266615255715,0.982455313205719
5-4,0726,590,588,36.98954566262013,-118.27030141442083,0.9681037664413452
5-4,0726,472,439,37.02137696346955,-118.32063655475112,0.9786572456359863
5-4,0726,427,485,37.033516018878224,-118.30509684699815,0.9367871880531311
5-4,0726,480,444,37.01921890917467,-118.31894745608233,0.9927492141723633
5-4,0726,401,492,37.040529695336566,-118.30273210886182,0.9713370203971863
5-4,0726,514,591,37.010047178421445,-118.26928795521954,0.762937068939209
5-4,0726,429,549,37.032976505304504,-118.28347638403748,0.9959526658058167
5-4,0726,615,585,36.982801742948645,-118.2713148736221,0.9476094245910645
5-4,0726,522,592,37.00788912412657,-118.26895013548578,0.5431041121482849
5-4,0726,415,515,37.03675310032054,-118.29496225498534,0.9933065176010132
5-4,0726,424,515,37.0343252892388,-118.29496225498534,0.9780990481376648
5-4,0726,561,486,36.99736860943905,-118.30475902726438,0.9791359901428223
5-4,0726,481,563,37.01894915238781,-118.27874690776484,0.9850428104400635
5-4,0726,619,583,36.981722715801205,-118.27199051308963,0.9627549648284912
5-4,0726,469,567,37.022186233830126,-118.2773956288298,0.8765148520469666
5-4,0726,589,467,36.98981541940699,-118.31117760220583,0.9836226105690002
5-4,0726,600,591,36.98684809475154,-118.26928795521954,0.9895275235176086
5-4,0726,514,600,37.010047178421445,-118.2662475776157,0.5567846298217773
5-4,0726,534,582,37.004652042684256,-118.27232833282339,0.9866902828216553
5-4,0726,603,520,36.98603882439095,-118.29327315631653,0.9931523203849792
5-4,0726,455,441,37.025962828846154,-118.3199609152836,0.989194393157959
5-4,0726,462,434,37.024074531338144,-118.32232565341992,0.9881436228752136
5-4,0726,518,477,37.00896815127401,-118.30779940486823,0.9974040389060974
5-4,0726,627,602,36.97956466150633,-118.26557193814818,0.9885552525520325
5-4,0726,463,426,37.02380477455128,-118.32502821129,0.9836524128913879
5-4,0726,453,421,37.026502342419874,-118.32671730995881,0.9781149625778198
5-4,0726,427,491,37.033516018878224,-118.30306992859559,0.9537616968154907
5-4,0726,415,493,37.03675310032054,-118.30239428912806,0.97105473279953
5-4,0726,445,559,37.02866039671475,-118.28009818669987,0.9293685555458069
5-4,0726,520,490,37.00842863770029,-118.30340774832935,0.9991864562034607
5-4,0726,579,502,36.99251298727558,-118.29935391152422,0.9920323491096497
5-4,0726,458,448,37.02515355848558,-118.31759617714728,0.9897353053092957
5-4,0726,564,477,36.99655933907847,-118.30779940486823,0.9707357287406921
5-4,0726,492,553,37.015981827732354,-118.28212510510244,0.9888743162155151
5-4,0726,477,553,37.020028179535245,-118.28212510510244,0.9813971519470215
5-4,0726,595,547,36.988196878685834,-118.284152023505,0.9924284815788269
5-4,0726,468,460,37.02245599061698,-118.31354234034215,0.9888018369674683
5-4,0726,439,504,37.03027893743591,-118.2986782720567,0.96658855676651
5-4,0726,573,464,36.99413152799674,-118.31219106140712,0.9770194292068481
5-4,0726,545,604,37.001684718028805,-118.26489629868065,0.5094488859176636
5-4,0726,407,419,37.03891115461541,-118.32739294942634,0.7161125540733337
5-4,0726,401,452,37.040529695336566,-118.31624489821225,0.6855372786521912
5-4,0726,497,574,37.01463304379806,-118.27503089069347,0.9946537613868713
5-4,0726,568,464,36.99548031193104,-118.31219106140712,0.9621257781982422
5-4,0726,590,579,36.98954566262013,-118.27334179202467,0.9869377613067627
5-4,0726,465,434,37.02326526097756,-118.32232565341992,0.984878420829773
5-4,0726,402,457,37.04025993854971,-118.31455579954344,0.8984777331352234
5-4,0726,611,537,36.98388077009608,-118.28753022084261,0.9936515688896179
5-4,0726,429,530,37.032976505304504,-118.28989495897893,0.9909040927886963
5-4,0726,400,471,37.04079945212343,-118.3098263232708,0.9201392531394958
5-4,0726,582,485,36.991703716915005,-118.30509684699815,0.9908663630485535
5-4,0726,606,575,36.985229554030376,-118.27469307095971,0.992549479007721
5-4,0726,409,531,37.03837164104169,-118.28955713924518,0.9945971369743347
5-4,0726,409,530,37.03837164104169,-118.28989495897893,0.9947781562805176
5-4,0726,470,568,37.02191647704326,-118.27705780909604,0.9460934996604919
5-4,0726,459,418,37.02488380169872,-118.3277307691601,0.9711803197860718
5-4,0726,610,590,36.98415052688294,-118.26962577495331,0.9824817776679993
5-4,0726,642,577,36.97551830970344,-118.2740174314922,0.9934947490692139
5-4,0726,480,443,37.01921890917467,-118.31928527581609,0.9914885759353638
5-4,0726,458,535,37.02515355848558,-118.28820586031013,0.9670320153236389
