burnName,date,y,x,lat,lon,predicted_prob
Biscar,0722,866,824,40.54813621898812,-120.02134954777088,0.987657904624939
Biscar,0722,849,875,40.55272208436473,-120.00321819878366,0.9984902739524841
Biscar,0722,539,1000,40.63634668829116,-119.95877861793261,0.9861807227134705
Biscar,0722,456,686,40.6587365016005,-120.07041084503044,0.9588420391082764
Biscar,0722,530,992,40.6387744993729,-119.96162275110707,0.9957655072212219
Biscar,0722,840,937,40.55514989544646,-119.98117616668154,0.9918597340583801
Biscar,0722,461,42,40.657387717666204,-120.29936356557504,0.9891247749328613
Biscar,0722,564,934,40.62960276861968,-119.98224271662195,0.9942241907119751
Biscar,0722,843,951,40.554340625085885,-119.97619893362622,0.9998805522918701
Biscar,0722,876,949,40.545438651119525,-119.97690996691983,0.9928746223449707
Biscar,0722,421,1001,40.66817798914058,-119.9584231012858,0.7423302531242371
Biscar,0722,577,955,40.626095930390505,-119.97477686703898,0.8669109344482422
Biscar,0722,866,942,40.54813621898812,-119.97939858344749,0.9900018572807312
Biscar,0722,343,537,40.68921901851562,-120.12338282540489,0.9965263605117798
Biscar,0722,545,982,40.63472814757001,-119.96517791757516,0.99361652135849
Biscar,0722,195,304,40.729143022970824,-120.20621820411124,0.9128321409225464
Biscar,0722,361,96,40.684363396352154,-120.28016566664739,0.8038079142570496
Biscar,0722,485,786,40.650913554781575,-120.0348591803496,0.9864503145217896
Biscar,0722,614,901,40.616114929276705,-119.99397476596664,0.7728586792945862
Biscar,0722,270,120,40.70891126395636,-120.27163326712399,0.8839400410652161
Biscar,0722,462,896,40.65711796087935,-119.99575234920067,0.8512541651725769
Biscar,0722,279,534,40.70648345287463,-120.1244493753453,0.968259334564209
Biscar,0722,399,68,40.67411263845149,-120.29012013275802,0.6650324463844299
Biscar,0722,477,912,40.65307160907645,-119.99006408285175,0.9870569109916687
Biscar,0722,167,425,40.73669621300289,-120.16320068984743,0.9869769811630249
Biscar,0722,457,670,40.658466744813644,-120.07609911137938,0.9617056250572205
Biscar,0722,874,922,40.54597816469324,-119.98650891638366,0.9982585310935974
Biscar,0722,483,27,40.651453068355295,-120.30469631527717,0.9738748669624329
Biscar,0722,422,942,40.667908232353724,-119.97939858344749,0.9381923675537109
Biscar,0722,524,25,40.640393040094054,-120.30540734857078,0.9696915745735168
Biscar,0722,660,909,40.60370611708117,-119.99113063279216,0.984866738319397
Biscar,0722,137,384,40.74478891660867,-120.17777687236656,0.820129930973053
Biscar,0722,857,781,40.55056403006985,-120.03663676358364,0.8842763900756836
Biscar,0722,559,938,40.630951552553974,-119.98082065003473,0.9924034476280212
Biscar,0722,236,154,40.71808299470958,-120.2595457011325,0.9417660236358643
Biscar,0722,471,1001,40.65469014979761,-119.9584231012858,0.9950977563858032
Biscar,0722,536,28,40.637155958651746,-120.30434079863036,0.9457804560661316
Biscar,0722,439,997,40.66332236697711,-119.95984516787303,0.988294243812561
Biscar,0722,400,583,40.67384288166463,-120.10702905965171,0.9139145016670227
Biscar,0722,489,37,40.64983452763414,-120.30114114880908,0.9837165474891663
Biscar,0722,453,649,40.65954577196108,-120.08356496096235,0.9691752195358276
Biscar,0722,222,247,40.72185958972562,-120.22648265297931,0.7550092339515686
Biscar,0722,137,364,40.74478891660867,-120.18488720530274,0.8427681922912598
Biscar,0722,164,450,40.737505483363464,-120.15431277367722,0.9749951362609863
Biscar,0722,260,170,40.71160883182496,-120.25385743478357,0.981894314289093
Biscar,0722,506,44,40.64524866225753,-120.29865253228142,0.9897461533546448
Biscar,0722,238,533,40.71754348113586,-120.12480489199213,0.5647321939468384
Biscar,0722,258,156,40.712148345398674,-120.25883466783888,0.9777463674545288
Biscar,0722,509,46,40.64443939189695,-120.29794149898781,0.9902796149253845
Biscar,0722,249,513,40.71457615648041,-120.13191522492829,0.9815264344215393
Biscar,0722,738,784,40.58266508770613,-120.03557021364321,0.7560262084007263
Biscar,0722,484,807,40.65118331156844,-120.02739333076663,0.9180509448051453
Biscar,0722,644,33,40.60802222567092,-120.30256321539632,0.7532650232315063
Biscar,0722,286,83,40.70459515536661,-120.2847873830559,0.7085850834846497
Biscar,0722,276,544,40.707292723235206,-120.12089420887723,0.7684299945831299
Biscar,0722,379,564,40.67950777418868,-120.11378387594107,0.8628836274147034
Biscar,0722,693,65,40.59480414311481,-120.29118668269845,0.9578678011894226
Biscar,0722,474,849,40.65388087943703,-120.01246163160067,0.555785596370697
Biscar,0722,171,470,40.73561718585545,-120.14720244074105,0.9699397087097168
Biscar,0722,249,503,40.71457615648041,-120.13547039139637,0.9897432923316956
Biscar,0722,405,75,40.672494097730336,-120.28763151623036,0.837944507598877
Biscar,0722,356,120,40.68571218028645,-120.27163326712399,0.9745201468467712
Biscar,0722,447,997,40.66116431268224,-119.95984516787303,0.9887081384658813
Biscar,0722,499,833,40.64713695976555,-120.0181498979496,0.9884820580482483
Biscar,0722,669,948,40.601278305999436,-119.97726548356664,0.633701503276825
Biscar,0722,504,74,40.64578817583125,-120.28798703287717,0.9962047934532166
Biscar,0722,297,145,40.70162783071116,-120.26274535095378,0.9927232265472412
Biscar,0722,696,744,40.59399487275423,-120.04979087951556,0.5281412601470947
Biscar,0722,882,836,40.543820110398364,-120.01708334800918,0.9994400143623352
Biscar,0722,470,783,40.654959906584466,-120.03592573029002,0.9088528752326965
Biscar,0722,159,395,40.73885426729776,-120.17386618925168,0.987032949924469
Biscar,0722,593,895,40.62177982180075,-119.99610786584749,0.8790245652198792
Biscar,0722,465,39,40.65630869051876,-120.30043011551547,0.9793304800987244
Biscar,0722,234,520,40.7186225082833,-120.12942660840064,0.7614578604698181
Biscar,0722,707,789,40.59102754809877,-120.03379263040918,0.974936306476593
Biscar,0722,364,108,40.68355412599157,-120.27589946688569,0.7354299426078796
Biscar,0722,414,44,40.6700662866486,-120.29865253228142,0.7353786826133728
Biscar,0722,313,129,40.697311722121405,-120.2684336173027,0.9937297701835632
Biscar,0722,721,62,40.587250953082744,-120.29225323263887,0.9778541922569275
