burnName,date,y,x,lat,lon,predicted_prob
Brushy,0907,526,502,42.666162105727,-123.92076698650841,0.96757096
Brushy,0907,493,497,42.67506407969336,-123.92260139605203,0.9771813
Brushy,0907,510,480,42.670478214316745,-123.92883838850038,0.6967241
Brushy,0907,509,490,42.67074797110361,-123.92516956941313,0.98535985
Brushy,0907,466,480,42.68234751293856,-123.92883838850038,0.95093125
Brushy,0907,487,495,42.67668262041451,-123.9233351598695,0.9739145
Brushy,0907,473,505,42.680459215430545,-123.91966634078223,0.9472083
Brushy,0907,466,531,42.68234751293856,-123.91012741115534,0.9334355
Brushy,0907,537,529,42.66319478107154,-123.9108611749728,0.99023384
Brushy,0907,548,516,42.66022745641609,-123.91563063978623,0.9413431
Brushy,0907,481,482,42.67830116113567,-123.92810462468293,0.96694195
Brushy,0907,459,470,42.68423581044658,-123.93250720758765,0.9111187
Brushy,0907,512,534,42.669938700743025,-123.90902676542916,0.9700279
Brushy,0907,475,521,42.679919701856825,-123.9137962302426,0.9068796
Brushy,0907,493,473,42.67506407969336,-123.93140656186148,0.98586947
Brushy,0907,455,478,42.685314837594014,-123.92957215231785,0.9560752
Brushy,0907,510,482,42.670478214316745,-123.92810462468293,0.82330394
Brushy,0907,496,500,42.67425480933278,-123.92150075032586,0.9833847
Brushy,0907,488,469,42.676412863627654,-123.93287408949638,0.97251564
Brushy,0907,490,532,42.675873350053934,-123.90976052924661,0.9261734
Brushy,0907,465,540,42.68261726972542,-123.9068254739768,0.96251523
Brushy,0907,466,508,42.68234751293856,-123.91856569505605,0.94630164
Brushy,0907,467,503,42.682077756151706,-123.92040010459968,0.9501637
Brushy,0907,498,492,42.67371529575906,-123.92443580559566,0.9839689
Brushy,0907,502,477,42.67263626861162,-123.92993903422656,0.95652825
Brushy,0907,484,492,42.677491890775094,-123.92443580559566,0.97233117
Brushy,0907,467,513,42.682077756151706,-123.91673128551241,0.93399024
Brushy,0907,478,482,42.67911043149625,-123.92810462468293,0.9713055
Brushy,0907,520,485,42.66778064644815,-123.92700397895675,0.8868655
Brushy,0907,483,543,42.67776164756195,-123.90572482825063,0.829205
Brushy,0907,461,491,42.68369629687286,-123.9248026875044,0.90303266
Brushy,0907,479,468,42.67884067470939,-123.9332409714051,0.9189043
Brushy,0907,483,517,42.67776164756195,-123.91526375787751,0.95231056
Brushy,0907,482,543,42.67803140434881,-123.90572482825063,0.8842323
Brushy,0907,493,466,42.67506407969336,-123.93397473522256,0.78190315
Brushy,0907,455,506,42.685314837594014,-123.9192994588735,0.93230015
Brushy,0907,460,501,42.68396605365972,-123.92113386841713,0.9391644
Brushy,0907,481,466,42.67830116113567,-123.93397473522256,0.91458845
Brushy,0907,486,529,42.676952377201374,-123.9108611749728,0.93525326
Brushy,0907,447,491,42.687472891888895,-123.9248026875044,0.7885459
Brushy,0907,480,544,42.67857091792253,-123.9053579463419,0.944113
Brushy,0907,501,475,42.67290602539848,-123.93067279804401,0.9666415
Brushy,0907,495,524,42.674524566119636,-123.91269558451643,0.9738201
Brushy,0907,487,481,42.67668262041451,-123.92847150659166,0.9768286
Brushy,0907,481,509,42.67830116113567,-123.91819881314731,0.95869243
Brushy,0907,461,468,42.68369629687286,-123.9332409714051,0.8578457
Brushy,0907,546,525,42.66076696998981,-123.9123287026077,0.9332066
Brushy,0907,471,550,42.680998729004266,-123.90315665488953,0.51941955
Brushy,0907,492,511,42.67533383648021,-123.91746504932986,0.9734865
Brushy,0907,547,509,42.660497213202945,-123.91819881314731,0.7767535
Brushy,0907,455,490,42.685314837594014,-123.92516956941313,0.8774748
Brushy,0907,503,491,42.67236651182476,-123.9248026875044,0.9883011
Brushy,0907,550,528,42.65968794284237,-123.91122805688151,0.68684536
Brushy,0907,541,508,42.662115753924105,-123.91856569505605,0.9656177
Brushy,0907,475,541,42.679919701856825,-123.90645859206808,0.9636086
Brushy,0907,489,490,42.6761431068408,-123.92516956941313,0.97768676
Brushy,0907,529,526,42.66535283536641,-123.91196182069898,0.99604446
Brushy,0907,449,498,42.686933378315175,-123.92223451414331,0.8966521
Brushy,0907,450,511,42.68666362152831,-123.91746504932986,0.8712596
Brushy,0907,469,528,42.681538242577986,-123.91122805688151,0.94445455
Brushy,0907,487,468,42.67668262041451,-123.9332409714051,0.96996725
Brushy,0907,469,507,42.681538242577986,-123.91893257696478,0.94634426
Brushy,0907,463,487,42.68315678329914,-123.9262702151393,0.9247319
Brushy,0907,460,525,42.68396605365972,-123.9123287026077,0.6927075
Brushy,0907,480,534,42.67857091792253,-123.90902676542916,0.9488997
Brushy,0907,514,494,42.669399187169304,-123.92370204177821,0.98682874
Brushy,0907,491,476,42.67560359326708,-123.9303059161353,0.9830563
Brushy,0907,466,475,42.68234751293856,-123.93067279804401,0.925476
Brushy,0907,448,503,42.68720313510203,-123.92040010459968,0.9337091
Brushy,0907,457,521,42.6847753240203,-123.9137962302426,0.69347525
Brushy,0907,492,499,42.67533383648021,-123.92186763223458,0.979795
Brushy,0907,468,510,42.68180799936484,-123.9178319312386,0.9427357
Brushy,0907,462,511,42.683426540086,-123.91746504932986,0.9362258
Brushy,0907,454,503,42.68558459438088,-123.92040010459968,0.9440103
Brushy,0907,458,511,42.68450556723344,-123.91746504932986,0.9231345
Brushy,0907,531,516,42.6648133217927,-123.91563063978623,0.99489784
Brushy,0907,462,495,42.683426540086,-123.9233351598695,0.9073007
Brushy,0907,449,528,42.686933378315175,-123.91122805688151,0.5419421
Brushy,0907,491,491,42.67560359326708,-123.9248026875044,0.97537774
Brushy,0907,477,508,42.679380188283105,-123.91856569505605,0.95757055
Brushy,0907,451,499,42.686393864741454,-123.92186763223458,0.8853554
Brushy,0907,514,482,42.669399187169304,-123.92810462468293,0.6832604
Brushy,0907,496,534,42.67425480933278,-123.90902676542916,0.8857036
Brushy,0907,505,534,42.67182699825104,-123.90902676542916,0.9264081
Brushy,0907,466,495,42.68234751293856,-123.9233351598695,0.95581514
Brushy,0907,470,469,42.68126848579112,-123.93287408949638,0.7547947
Brushy,0907,533,509,42.66427380821898,-123.91819881314731,0.9770237
Brushy,0907,548,519,42.66022745641609,-123.91452999406006,0.91307807
Brushy,0907,481,507,42.67830116113567,-123.91893257696478,0.9603207
Brushy,0907,465,496,42.68261726972542,-123.92296827796076,0.95210874
Brushy,0907,462,469,42.683426540086,-123.93287408949638,0.84459406
Brushy,0907,490,499,42.675873350053934,-123.92186763223458,0.975927
Brushy,0907,454,524,42.68558459438088,-123.91269558451643,0.5144374
Brushy,0907,443,499,42.68855191903633,-123.92186763223458,0.8191836
Brushy,0907,454,477,42.68558459438088,-123.92993903422656,0.9599051
Brushy,0907,465,477,42.68261726972542,-123.92993903422656,0.9447083
Brushy,0907,462,493,42.683426540086,-123.92406892368695,0.9082878
Brushy,0907,459,500,42.68423581044658,-123.92150075032586,0.9355927
Brushy,0907,483,520,42.67776164756195,-123.91416311215133,0.95194465
Brushy,0907,542,536,42.66184599713724,-123.90829300161171,0.60033804
Brushy,0907,464,476,42.68288702651228,-123.9303059161353,0.9382998
Brushy,0907,502,479,42.67263626861162,-123.92920527040911,0.9757557
Brushy,0907,536,517,42.6634645378584,-123.91526375787751,0.9918584
Brushy,0907,453,493,42.685854351167734,-123.92406892368695,0.8626801
Brushy,0907,480,498,42.67857091792253,-123.92223451414331,0.9590299
Brushy,0907,457,517,42.6847753240203,-123.91526375787751,0.7996909
Brushy,0907,446,486,42.68774264867575,-123.92663709704803,0.8796003
Brushy,0907,531,505,42.6648133217927,-123.91966634078223,0.96209395
Brushy,0907,469,513,42.681538242577986,-123.91673128551241,0.937406
Brushy,0907,448,529,42.68720313510203,-123.9108611749728,0.50356007
Brushy,0907,473,487,42.680459215430545,-123.9262702151393,0.96774113
Brushy,0907,460,531,42.68396605365972,-123.91012741115534,0.740729
Brushy,0907,477,536,42.679380188283105,-123.90829300161171,0.9664145
Brushy,0907,492,465,42.67533383648021,-123.93434161713128,0.6127958
Brushy,0907,492,515,42.67533383648021,-123.91599752169496,0.9737896
Brushy,0907,531,503,42.6648133217927,-123.92040010459968,0.9644991
Brushy,0907,539,524,42.66265526749782,-123.91269558451643,0.98335826
Brushy,0907,445,491,42.68801240546261,-123.9248026875044,0.7453661
Brushy,0907,482,499,42.67803140434881,-123.92186763223458,0.9681727
Brushy,0907,456,494,42.68504508080716,-123.92370204177821,0.9157671
Brushy,0907,484,470,42.677491890775094,-123.93250720758765,0.96272784
Brushy,0907,480,481,42.67857091792253,-123.92847150659166,0.9758177
Brushy,0907,514,537,42.669399187169304,-123.90792611970298,0.91154045
Brushy,0907,449,508,42.686933378315175,-123.91856569505605,0.8867027
Brushy,0907,479,491,42.67884067470939,-123.9248026875044,0.95861584
Brushy,0907,472,530,42.68072897221741,-123.91049429306406,0.95163584
Brushy,0907,526,498,42.666162105727,-123.92223451414331,0.962581
Brushy,0907,483,544,42.67776164756195,-123.9053579463419,0.8323525
Brushy,0907,486,523,42.676952377201374,-123.91306246642515,0.95546836
Brushy,0907,468,515,42.68180799936484,-123.91599752169496,0.9226744
Brushy,0907,455,518,42.685314837594014,-123.91489687596878,0.76645523
Brushy,0907,478,465,42.67911043149625,-123.93434161713128,0.7075862
