burnName,date,y,x,lat,lon,predicted_prob
Derby,0821,461,597,39.8493959362365,-107.07116392585738,0.9011147
Derby,0821,465,457,39.84831690908906,-107.12034578690962,0.9735749
Derby,0821,464,527,39.84858666587592,-107.09575485638351,0.978776
Derby,0821,527,390,39.83159198830377,-107.14388282041321,0.91244876
Derby,0821,559,403,39.82295977112427,-107.1393159333155,0.9069886
Derby,0821,460,465,39.849665693023354,-107.1175353948495,0.9529128
Derby,0821,490,507,39.84157298941757,-107.10278083653382,0.9676579
Derby,0821,477,507,39.84507982764674,-107.10278083653382,0.973077
Derby,0821,557,584,39.82349928469799,-107.07573081295509,0.9830739
Derby,0821,514,419,39.83509882653294,-107.13369514919525,0.97310513
Derby,0821,575,489,39.81864366253452,-107.10910421866912,0.99250174
Derby,0821,532,386,39.830243204369474,-107.14528801644327,0.9291887
Derby,0821,549,612,39.82565733899286,-107.06589444074463,0.5418116
Derby,0821,563,420,39.821880743976834,-107.13334385018773,0.95277107
Derby,0821,561,511,39.82242025755055,-107.10137564050376,0.9929288
Derby,0821,573,521,39.81918317610824,-107.0978626504286,0.98543036
Derby,0821,570,586,39.81999244646882,-107.07502821494005,0.9238858
Derby,0821,544,599,39.82700612292716,-107.07046132784234,0.9601414
Derby,0821,534,595,39.82970369079575,-107.0718665238724,0.98281276
Derby,0821,507,450,39.83698712404096,-107.12280487996225,0.97146636
Derby,0821,575,578,39.81864366253452,-107.07783860700017,0.8460054
Derby,0821,462,585,39.84912617944964,-107.07537951394757,0.9928034
Derby,0821,561,425,39.82242025755055,-107.13158735515015,0.96743864
Derby,0821,464,508,39.84858666587592,-107.1024295375263,0.9707706
Derby,0821,536,407,39.82916417722204,-107.13791073728544,0.94803274
Derby,0821,542,598,39.82754563650088,-107.07081262684986,0.9825011
Derby,0821,582,417,39.8167553650265,-107.13439774721027,0.6543952
Derby,0821,528,635,39.831322231516914,-107.05781456357175,0.51853865
Derby,0821,473,483,39.84615885479418,-107.1112120127142,0.97098947
Derby,0821,432,491,39.857218883055424,-107.10840162065408,0.5205314
Derby,0821,583,427,39.81648560823964,-107.13088475713512,0.9346691
Derby,0821,472,467,39.84642861158105,-107.11683279683447,0.9604523
Derby,0821,496,462,39.83995444869642,-107.11858929187206,0.96158683
Derby,0821,572,551,39.819452932895096,-107.08732368020311,0.9923679
Derby,0821,569,566,39.82026220325567,-107.08205419509038,0.9858737
