burnName,date,y,x,lat,lon,predicted_prob
Gifford,0816,772,462,35.05771768375426,-120.19629273049641,0.5823982
Gifford,0816,470,173,35.13918423338582,-120.29161329832151,0.7861399
Gifford,0816,484,218,35.13540763836979,-120.27677099537297,0.76917404
Gifford,0816,451,169,35.14430961233615,-120.29293261413916,0.6605721
Gifford,0816,453,169,35.14377009876243,-120.29293261413916,0.690984
Gifford,0816,897,456,35.023998085396826,-120.19827170422288,0.5723024
Gifford,0816,938,477,35.012938057135585,-120.19134529618023,0.5767751
Gifford,0816,474,141,35.138105206238386,-120.3021678248627,0.7210461
Gifford,0816,481,182,35.13621690873037,-120.28864483773181,0.73019636
Gifford,0816,477,243,35.1372959358778,-120.26852527151267,0.7173462
Gifford,0816,713,406,35.07363333417897,-120.21476315194349,0.680384
Gifford,0816,1,265,35.26570016642292,-120.26126903451559,0.53484046
Gifford,0816,470,143,35.13918423338582,-120.30150816695388,0.7364071
Gifford,0816,16,632,35.261653814620026,-120.14022180824635,0.5087403
Gifford,0816,466,197,35.14026326053326,-120.28369740341563,0.6371683
Gifford,0816,462,188,35.1413422876807,-120.28666586400533,0.5487562
Gifford,0816,691,406,35.07956798348988,-120.21476315194349,0.7005374
Gifford,0816,475,207,35.13783544945152,-120.2803991138715,0.66727453
Gifford,0816,458,178,35.142421314828134,-120.28996415354945,0.6918712
Gifford,0816,932,475,35.014556597856746,-120.19200495408906,0.60688806
Gifford,0816,472,223,35.138644719812106,-120.27512185060091,0.58022755
Gifford,0816,479,191,35.13675642230409,-120.2856763771421,0.7256256
Gifford,0816,473,188,35.13837496302524,-120.28666586400533,0.7502321
Gifford,0816,474,135,35.138105206238386,-120.30414679858917,0.69355905
Gifford,0816,890,454,35.025886382904844,-120.1989313621317,0.53240514
Gifford,0816,697,392,35.07794944276872,-120.21938075730526,0.6682444
Gifford,0816,14,653,35.26219332819374,-120.13329540020369,0.5347952
Gifford,0816,476,193,35.137565692664666,-120.28501671923327,0.73419
Gifford,0816,524,351,35.12461736689541,-120.23290374443616,0.55280006
Gifford,0816,461,167,35.14161204446756,-120.29359227204799,0.75087297
Gifford,0816,510,342,35.12839396191144,-120.23587220502587,0.5237583
Gifford,0816,467,201,35.1399935037464,-120.28237808759798,0.6693471
Gifford,0816,484,214,35.13540763836979,-120.27809031119062,0.7842502
Gifford,0816,875,458,35.029932734707735,-120.19761204631406,0.59767675
Gifford,0816,481,232,35.13621690873037,-120.2721533900112,0.80579686
Gifford,0816,454,169,35.143500341975574,-120.29293261413916,0.7285345
Gifford,0816,472,201,35.138644719812106,-120.28237808759798,0.6896727
Gifford,0816,524,348,35.12461736689541,-120.23389323129939,0.5526732
Gifford,0816,482,218,35.135947151943505,-120.27677099537297,0.7222204
Gifford,0816,475,144,35.13783544945152,-120.30117833799946,0.7025645
Gifford,0816,471,158,35.13891447659896,-120.2965607326377,0.65244955
Gifford,0816,480,202,35.136486665517225,-120.28204825864356,0.6569502
Gifford,0816,872,456,35.03074200506831,-120.19827170422288,0.6329486
Gifford,0816,693,397,35.07902846991616,-120.2177316125332,0.8177648
Gifford,0816,929,475,35.01536586821732,-120.19200495408906,0.51896167
Gifford,0816,473,229,35.13837496302524,-120.27314287687443,0.78894997
Gifford,0816,464,198,35.14080277410698,-120.28336757446121,0.60646504
Gifford,0816,518,350,35.12623590761657,-120.23323357339056,0.660458
Gifford,0816,467,142,35.1399935037464,-120.30183799590829,0.7102531
Gifford,0816,899,458,35.023458571823106,-120.19761204631406,0.5166807
Gifford,0816,471,148,35.13891447659896,-120.29985902218182,0.6760893
Gifford,0816,521,343,35.12542663725599,-120.23554237607145,0.53474844
Gifford,0816,476,167,35.137565692664666,-120.29359227204799,0.7023251
Gifford,0816,776,450,35.05663865660682,-120.20025067794936,0.55260795
Gifford,0816,701,397,35.076870415621286,-120.2177316125332,0.8259535
Gifford,0816,455,163,35.14323058518871,-120.29491158786564,0.61345136
Gifford,0816,888,443,35.026425896478564,-120.20255948063024,0.5235655
Gifford,0816,709,407,35.074712361326405,-120.21443332298908,0.7145344
Gifford,0816,481,176,35.13621690873037,-120.29062381145827,0.5900487
Gifford,0816,473,158,35.13837496302524,-120.2965607326377,0.64307666
Gifford,0816,456,167,35.142960828401854,-120.29359227204799,0.7451068
Gifford,0816,488,246,35.13432861122235,-120.26753578464943,0.64426154
Gifford,0816,477,186,35.1372959358778,-120.28732552191416,0.7393776
Gifford,0816,471,163,35.13891447659896,-120.29491158786564,0.68413836
Gifford,0816,481,202,35.13621690873037,-120.28204825864356,0.6927817
Gifford,0816,765,446,35.05960598126228,-120.20156999376701,0.549065
Gifford,0816,460,186,35.141881801254414,-120.28732552191416,0.54598725
Gifford,0816,478,195,35.137026179090945,-120.28435706132444,0.7154593
Gifford,0816,479,208,35.13675642230409,-120.28006928491709,0.6981689
Gifford,0816,472,182,35.138644719812106,-120.28864483773181,0.7751329
Gifford,0816,471,152,35.13891447659896,-120.29853970636417,0.6224839
Gifford,0816,473,202,35.13837496302524,-120.28204825864356,0.66595066
Gifford,0816,478,149,35.137026179090945,-120.2995291932274,0.71114
Gifford,0816,716,400,35.072824063818395,-120.21674212566997,0.7070655
Gifford,0816,473,151,35.13837496302524,-120.29886953531859,0.6862416
Gifford,0816,469,197,35.13945399017268,-120.28369740341563,0.7153672
Gifford,0816,883,453,35.02777468041286,-120.19926119108612,0.55818236
Gifford,0816,698,409,35.07767968598186,-120.21377366508025,0.77277845
Gifford,0816,477,187,35.1372959358778,-120.28699569295975,0.73378766
Gifford,0816,470,198,35.13918423338582,-120.28336757446121,0.7235952
Gifford,0816,487,186,35.13459836800921,-120.28732552191416,0.72303855
Gifford,0816,452,179,35.144039855549295,-120.28963432459504,0.5613319
Gifford,0816,472,206,35.138644719812106,-120.28072894282592,0.61021996
Gifford,0816,698,418,35.07767968598186,-120.21080520449054,0.55005985
Gifford,0816,506,341,35.12947298905888,-120.23620203398028,0.5282627
Gifford,0816,465,161,35.14053301732012,-120.29557124577445,0.63108546
Gifford,0816,477,244,35.1372959358778,-120.26819544255825,0.7311823
Gifford,0816,893,443,35.02507711254427,-120.20255948063024,0.53362
Gifford,0816,481,260,35.13621690873037,-120.26291817928765,0.51704437
Gifford,0816,522,355,35.12515688046913,-120.2315844286185,0.6158607
