burnName,date,y,x,lat,lon,predicted_prob
Isabella,0914,491,532,48.126311033693476,-115.66295506674349,0.78947866
Isabella,0914,493,480,48.125771520119756,-115.68396785854601,0.81209594
Isabella,0914,497,533,48.124692492972315,-115.66255097459346,0.79618573
Isabella,0914,482,479,48.12873884477521,-115.68437195069606,0.776327
Isabella,0914,499,460,48.1241529793986,-115.69204970154698,0.61911833
Isabella,0914,482,489,48.12873884477521,-115.68033102919557,0.78563255
Isabella,0914,465,513,48.13332471015182,-115.67063281759442,0.59621704
Isabella,0914,482,488,48.12873884477521,-115.68073512134562,0.7844688
Isabella,0914,497,536,48.124692492972315,-115.66133869814331,0.7796521
Isabella,0914,473,531,48.131166655856944,-115.66335915889354,0.5272199
Isabella,0914,491,466,48.126311033693476,-115.68962514864668,0.747806
Isabella,0914,489,485,48.126850547267196,-115.68194739779577,0.8015147
Isabella,0914,489,529,48.126850547267196,-115.66416734319364,0.80158794
Isabella,0914,482,530,48.12873884477521,-115.66376325104359,0.77190167
Isabella,0914,492,489,48.12604127690661,-115.68033102919557,0.8480857
Isabella,0914,477,538,48.130087628709504,-115.66053051384321,0.56158364
Isabella,0914,497,466,48.124692492972315,-115.68962514864668,0.81239843
Isabella,0914,488,469,48.12712030405405,-115.68841287219654,0.7586184
Isabella,0914,490,535,48.12658079048033,-115.66174279029336,0.7744146
Isabella,0914,477,528,48.130087628709504,-115.66457143534369,0.75723064
Isabella,0914,469,500,48.132245683004385,-115.67588601554505,0.82734144
Isabella,0914,486,477,48.12765981762777,-115.68518013499616,0.7723963
Isabella,0914,486,478,48.12765981762777,-115.68477604284611,0.7741925
Isabella,0914,480,538,48.12927835834893,-115.66053051384321,0.6766737
Isabella,0914,493,522,48.125771520119756,-115.66699598824398,0.9062744
Isabella,0914,473,526,48.131166655856944,-115.66537961964379,0.7265664
Isabella,0914,501,460,48.12361346582488,-115.69204970154698,0.6326813
Isabella,0914,466,505,48.13305495336496,-115.6738655547948,0.7398453
Isabella,0914,492,526,48.12604127690661,-115.66537961964379,0.8538731
Isabella,0914,496,475,48.12496224975918,-115.68598831929626,0.8364946
Isabella,0914,485,538,48.12792957441463,-115.66053051384321,0.6811655
Isabella,0914,475,483,48.130627142283224,-115.68275558209587,0.5761983
Isabella,0914,479,539,48.12954811513579,-115.66012642169316,0.60067
Isabella,0914,492,527,48.12604127690661,-115.66497552749374,0.84573287
Isabella,0914,468,514,48.13251543979124,-115.67022872544437,0.7701262
Isabella,0914,487,473,48.12739006084091,-115.68679650359636,0.7775511
Isabella,0914,488,470,48.12712030405405,-115.6880087800465,0.7728669
Isabella,0914,477,481,48.130087628709504,-115.68356376639596,0.6885117
Isabella,0914,493,481,48.125771520119756,-115.68356376639596,0.8162319
Isabella,0914,494,531,48.1255017633329,-115.66335915889354,0.8092379
Isabella,0914,493,467,48.125771520119756,-115.68922105649663,0.8099323
Isabella,0914,472,526,48.13143641264381,-115.66537961964379,0.68114334
Isabella,0914,468,501,48.13251543979124,-115.675481923395,0.8075594
Isabella,0914,488,473,48.12712030405405,-115.68679650359636,0.7819128
Isabella,0914,476,529,48.13035738549637,-115.66416734319364,0.65992725
Isabella,0914,483,484,48.12846908798835,-115.68235148994582,0.78243697
Isabella,0914,469,523,48.132245683004385,-115.66659189609393,0.6956957
Isabella,0914,485,487,48.12792957441463,-115.68113921349567,0.808151
Isabella,0914,477,484,48.130087628709504,-115.68235148994582,0.7483452
Isabella,0914,469,498,48.132245683004385,-115.67669419984514,0.83577245
