burnName,date,y,x,lat,lon,predicted_prob
NASH,0703,539,494,34.879884901308266,-116.96366474476105,0.9994567632675171
NASH,0703,492,513,34.89256347029066,-116.9574164058706,0.9026757478713989
NASH,0703,546,528,34.877996603800256,-116.95248350674656,0.9974210262298584
NASH,0703,528,531,34.882852225963724,-116.95149692692175,0.9872086048126221
NASH,0703,485,483,34.89445176779868,-116.96728220411867,0.5391605496406555
NASH,0703,522,515,34.88447076668488,-116.9567586859874,0.9985583424568176
NASH,0703,537,454,34.880424414881986,-116.97681914242514,0.9253312945365906
NASH,0703,510,539,34.88770784812719,-116.94886604738893,0.9653437733650208
NASH,0703,545,562,34.87826636058711,-116.94130226873207,0.9711768627166748
NASH,0703,500,583,34.89040541599579,-116.93439620995842,0.8913843035697937
NASH,0703,499,542,34.89067517278265,-116.94787946756412,0.9071937799453735
NASH,0703,487,578,34.89391225422496,-116.93604050966644,0.6066613793373108
NASH,0703,551,555,34.87664781986595,-116.94360428832329,0.9524468779563904
NASH,0703,556,578,34.875299035931654,-116.93604050966644,0.9599155187606812
NASH,0703,544,523,34.87853611737397,-116.95412780645458,0.9901697039604187
NASH,0703,496,526,34.89148444314323,-116.95314122662977,0.9175275564193726
NASH,0703,527,547,34.88312198275058,-116.94623516785612,0.9580986499786377
NASH,0703,569,547,34.87179219770248,-116.94623516785612,0.9070553779602051
NASH,0703,504,579,34.88932638884835,-116.93571164972484,0.8322582840919495
NASH,0703,505,507,34.88905663206149,-116.95938956552021,0.9972925782203674
NASH,0703,515,489,34.886359064192895,-116.96530904446905,0.9997649788856506
NASH,0703,525,580,34.8836614963243,-116.93538278978323,0.5409337878227234
NASH,0703,551,575,34.87664781986595,-116.93702708949124,0.9610607624053955
NASH,0703,503,475,34.88959614563521,-116.96991308365149,0.9983609914779663
NASH,0703,485,494,34.89445176779868,-116.96366474476105,0.7221193909645081
NASH,0703,539,503,34.879884901308266,-116.96070500528663,0.9993104934692383
NASH,0703,499,495,34.89067517278265,-116.96333588481944,0.9970014095306396
NASH,0703,529,493,34.88258246917686,-116.96399360470265,0.9998568296432495
NASH,0703,555,503,34.87556879271852,-116.96070500528663,0.5413861274719238
NASH,0703,500,546,34.89040541599579,-116.94656402779772,0.8885897994041443
NASH,0703,495,508,34.891754199930084,-116.95906070557861,0.9741198420524597
NASH,0703,544,558,34.87853611737397,-116.94261770849849,0.9689222574234009
NASH,0703,530,466,34.882312712390004,-116.97287282312591,0.9958059191703796
NASH,0703,498,533,34.89094492956951,-116.95083920703854,0.9249802231788635
NASH,0703,502,500,34.889865902422066,-116.96169158511142,0.998919665813446
NASH,0703,565,495,34.87287122484992,-116.96333588481944,0.9003419280052185
NASH,0703,572,526,34.870982927341906,-116.95314122662977,0.8779059052467346
NASH,0703,568,544,34.87206195448935,-116.94722174768091,0.8773900270462036
NASH,0703,508,540,34.88824736170091,-116.94853718744733,0.9421810507774353
NASH,0703,491,575,34.892833227077524,-116.93702708949124,0.6801062226295471
NASH,0703,568,570,34.87206195448935,-116.93867138919926,0.9613717794418335
NASH,0703,491,583,34.892833227077524,-116.93439620995842,0.7746630907058716
NASH,0703,524,512,34.88393125311116,-116.9577452658122,0.9978598952293396
NASH,0703,569,527,34.87179219770248,-116.95281236668816,0.8135024309158325
NASH,0703,565,569,34.87287122484992,-116.93900024914086,0.9705061316490173
NASH,0703,548,485,34.877457090226535,-116.96662448423547,0.9055635333061218
NASH,0703,545,574,34.87826636058711,-116.93735594943284,0.9649726748466492
NASH,0703,542,524,34.87907563094769,-116.95379894651298,0.9925503134727478
NASH,0703,491,477,34.892833227077524,-116.96925536376828,0.9145670533180237
