burnName,date,y,x,lat,lon,predicted_prob
PARADISE,0722,482,531,46.00430232509475,-117.96678006239472,0.9500023722648621
PARADISE,0722,489,461,46.00241402758674,-117.99396137691646,0.5407560467720032
PARADISE,0722,487,489,46.00295354116045,-117.98308885110777,0.9989806413650513
PARADISE,0722,547,510,45.986768133948885,-117.97493445675124,0.999370276927948
PARADISE,0722,491,461,46.00187451401302,-117.99396137691646,0.8185617923736572
PARADISE,0722,485,495,46.00349305473417,-117.98075902414875,0.9989859461784363
PARADISE,0722,539,558,45.98892618824376,-117.9562958410792,0.9974550604820251
PARADISE,0722,507,546,45.99755840542326,-117.96095549499721,0.9972911477088928
PARADISE,0722,519,557,45.99432132398095,-117.95668414557237,0.8409684896469116
PARADISE,0722,536,485,45.98973545860434,-117.98464206908044,0.8834609389305115
PARADISE,0722,536,532,45.98973545860434,-117.96639175790156,0.9997680187225342
PARADISE,0722,515,475,45.99540035112839,-117.9885251140121,0.9912658929824829
PARADISE,0722,516,479,45.99513059434153,-117.98697189603944,0.9921396970748901
PARADISE,0722,480,532,46.00484183866847,-117.96639175790156,0.7860283255577087
PARADISE,0722,466,458,46.008618433684504,-117.99512629039596,0.5446650385856628
PARADISE,0722,548,490,45.98649837716203,-117.9827005466146,0.5224471688270569
PARADISE,0722,476,465,46.00592086581591,-117.99240815894379,0.7840508818626404
PARADISE,0722,485,535,46.00349305473417,-117.96522684442205,0.8157904744148254
PARADISE,0722,504,543,45.99836767578385,-117.96212040847671,0.9991667866706848
PARADISE,0722,543,487,45.987847161096326,-117.9838654600941,0.6907482743263245
PARADISE,0722,523,553,45.993242296833515,-117.95823736354504,0.9985150098800659
PARADISE,0722,530,544,45.9913539993255,-117.96173210398355,0.9998602867126465
PARADISE,0722,522,556,45.99351205362037,-117.95707245006554,0.9817938804626465
PARADISE,0722,485,522,46.00349305473417,-117.97027480283323,0.9989488124847412
PARADISE,0722,487,468,46.00295354116045,-117.99124324546428,0.9857237935066223
PARADISE,0722,535,551,45.9900052153912,-117.95901397253138,0.9997773170471191
PARADISE,0722,542,552,45.98811691788318,-117.95862566803821,0.9985166192054749
PARADISE,0722,470,495,46.00753940653706,-117.98075902414875,0.9855719804763794
PARADISE,0722,464,489,46.009157947258224,-117.98308885110777,0.7179733514785767
PARADISE,0722,486,486,46.003223297947315,-117.98425376458727,0.9988749027252197
PARADISE,0722,537,487,45.98946570181748,-117.9838654600941,0.854736328125
PARADISE,0722,547,499,45.986768133948885,-117.97920580617608,0.9595522880554199
PARADISE,0722,521,469,45.993781810407235,-117.99085494097112,0.5350885391235352
PARADISE,0722,545,516,45.987307647522606,-117.97260462979224,0.9996046423912048
PARADISE,0722,506,543,45.997828162210126,-117.96212040847671,0.9994291663169861
