burnName,date,y,x,lat,lon,predicted_prob
PARADISE,0719,481,495,46.00205817228481,-117.97713441076463,0.8990210294723511
PARADISE,0719,538,528,45.98668203543382,-117.96432094458235,0.9540301561355591
PARADISE,0719,492,529,45.999090847629354,-117.96393265772835,0.895934522151947
PARADISE,0719,512,474,45.993695711892165,-117.98528843469882,0.6887157559394836
PARADISE,0719,493,524,45.9988210908425,-117.96587409199839,0.9408807158470154
PARADISE,0719,488,520,46.000169874776795,-117.96742723941442,0.9012227058410645
PARADISE,0719,496,518,45.99801182048192,-117.96820381312244,0.976276695728302
PARADISE,0719,511,473,45.99396546867903,-117.98567672155282,0.6531572341918945
PARADISE,0719,531,513,45.98857033294184,-117.97014524739248,0.9448926448822021
PARADISE,0719,483,534,46.00151865871109,-117.9619912234583,0.5725983381271362
PARADISE,0719,535,495,45.9874913057944,-117.97713441076463,0.9036215543746948
PARADISE,0719,488,504,46.000169874776795,-117.97363982907856,0.9260426759719849
PARADISE,0719,497,523,45.99774206369506,-117.96626237885239,0.971255362033844
PARADISE,0719,506,542,45.995314252613326,-117.95888492862623,0.7927730083465576
PARADISE,0719,540,524,45.9861425218601,-117.96587409199839,0.9518316388130188
PARADISE,0719,533,534,45.98803081936812,-117.9619912234583,0.9675368666648865
PARADISE,0719,535,543,45.9874913057944,-117.95849664177223,0.867906391620636
PARADISE,0719,534,513,45.98776106258126,-117.97014524739248,0.9361357092857361
PARADISE,0719,508,526,45.994774739039606,-117.96509751829036,0.9803709387779236
PARADISE,0719,514,487,45.993156198318445,-117.9802407055967,0.9201217889785767
PARADISE,0719,481,501,46.00205817228481,-117.97480468964058,0.894505500793457
PARADISE,0719,477,502,46.003137199432246,-117.97441640278657,0.8429428935050964
PARADISE,0719,536,531,45.98722154900754,-117.96315608402033,0.953495442867279
PARADISE,0719,498,477,45.9974723069082,-117.98412357413679,0.8249642252922058
PARADISE,0719,483,481,46.00151865871109,-117.98257042672076,0.8603628873825073
PARADISE,0719,488,538,46.000169874776795,-117.96043807604227,0.7123532891273499
PARADISE,0719,476,492,46.00340695621911,-117.97829927132666,0.7949636578559875
PARADISE,0719,476,502,46.00340695621911,-117.97441640278657,0.7927880883216858
PARADISE,0719,538,520,45.98668203543382,-117.96742723941442,0.9484395384788513
PARADISE,0719,484,528,46.001248901924235,-117.96432094458235,0.7597211599349976
PARADISE,0719,525,532,45.990188873662994,-117.96276779716632,0.9770101308822632
PARADISE,0719,499,535,45.997202550121344,-117.9616029366043,0.8766384124755859
PARADISE,0719,475,505,46.003676713005966,-117.97325154222455,0.7511219382286072
PARADISE,0719,502,540,45.99639327976076,-117.95966150233426,0.6979519724845886
PARADISE,0719,492,521,45.999090847629354,-117.96703895256042,0.9443204402923584
PARADISE,0719,537,494,45.98695179222068,-117.97752269761864,0.799345076084137
PARADISE,0719,486,481,46.000709388350515,-117.98257042672076,0.9081436991691589
PARADISE,0719,522,524,45.99099814402357,-117.96587409199839,0.9786015748977661
PARADISE,0719,480,527,46.00232792907167,-117.96470923143636,0.7756606340408325
PARADISE,0719,517,475,45.99234692795787,-117.98490014784481,0.615666389465332
PARADISE,0719,543,528,45.985333251499526,-117.96432094458235,0.6396151185035706
PARADISE,0719,491,473,45.99936060441622,-117.98567672155282,0.6294304728507996
PARADISE,0719,473,507,46.004216226579686,-117.97247496851654,0.5772658586502075
PARADISE,0719,511,527,45.99396546867903,-117.96470923143636,0.9806815981864929
PARADISE,0719,533,543,45.98803081936812,-117.95849664177223,0.9029167294502258
PARADISE,0719,499,539,45.997202550121344,-117.96004978918826,0.7859663963317871
PARADISE,0719,493,542,45.9988210908425,-117.95888492862623,0.6576898097991943
PARADISE,0719,483,530,46.00151865871109,-117.96354437087433,0.7121706008911133
PARADISE,0719,472,499,46.00448598336655,-117.9755812633486,0.5537769794464111
PARADISE,0719,502,541,45.99639327976076,-117.95927321548024,0.6548612713813782
PARADISE,0719,529,535,45.989109846515554,-117.9616029366043,0.9695085287094116
PARADISE,0719,520,549,45.99153765759729,-117.95616692064817,0.6375048756599426
PARADISE,0719,526,519,45.98991911687614,-117.96781552626842,0.9707213044166565
PARADISE,0719,534,525,45.98776106258126,-117.96548580514438,0.9602800011634827
PARADISE,0719,485,486,46.00097914513737,-117.98062899245072,0.905493974685669
PARADISE,0719,518,546,45.99207717117101,-117.9573317812102,0.878327488899231
PARADISE,0719,535,512,45.9874913057944,-117.97053353424648,0.9402173757553101
PARADISE,0719,487,523,46.00043963156365,-117.96626237885239,0.8915997743606567
PARADISE,0719,539,492,45.98641227864696,-117.97829927132666,0.7095625996589661
PARADISE,0719,507,477,45.99504449582646,-117.98412357413679,0.8186594843864441
PARADISE,0719,537,541,45.98695179222068,-117.95927321548024,0.8286556601524353
PARADISE,0719,501,476,45.99666303654762,-117.98451186099079,0.7306327223777771
PARADISE,0719,522,526,45.99099814402357,-117.96509751829036,0.9804955124855042
PARADISE,0719,530,528,45.9888400897287,-117.96432094458235,0.9573643803596497
PARADISE,0719,534,534,45.98776106258126,-117.9619912234583,0.9632157683372498
PARADISE,0719,489,510,45.99990011798994,-117.97131010795451,0.9293897747993469
PARADISE,0719,486,527,46.000709388350515,-117.96470923143636,0.8142166137695312
PARADISE,0719,525,526,45.990188873662994,-117.96509751829036,0.9676966071128845
PARADISE,0719,500,479,45.99693279333448,-117.98334700042878,0.826415479183197
PARADISE,0719,529,486,45.989109846515554,-117.98062899245072,0.8203977942466736
PARADISE,0719,477,511,46.003137199432246,-117.9709218211005,0.8328331708908081
PARADISE,0719,478,507,46.00286744264539,-117.97247496851654,0.8873374462127686
PARADISE,0719,476,514,46.00340695621911,-117.96975696053848,0.8089317679405212
PARADISE,0719,525,514,45.990188873662994,-117.96975696053848,0.97352534532547
PARADISE,0719,506,532,45.995314252613326,-117.96276779716632,0.9762425422668457
PARADISE,0719,506,474,45.995314252613326,-117.98528843469882,0.7017858028411865
PARADISE,0719,513,533,45.99342595510531,-117.96237951031232,0.9942603707313538
PARADISE,0719,539,528,45.98641227864696,-117.96432094458235,0.9501650333404541
PARADISE,0719,483,477,46.00151865871109,-117.98412357413679,0.7066675424575806
PARADISE,0719,526,546,45.98991911687614,-117.9573317812102,0.9007681012153625
PARADISE,0719,524,525,45.99045863044985,-117.96548580514438,0.9724860191345215
PARADISE,0719,513,541,45.99342595510531,-117.95927321548024,0.990321695804596
PARADISE,0719,488,539,46.000169874776795,-117.96004978918826,0.7014719843864441
PARADISE,0719,476,528,46.00340695621911,-117.96432094458235,0.5336583852767944
PARADISE,0719,524,547,45.99045863044985,-117.9569434943562,0.8527724742889404
PARADISE,0719,499,529,45.997202550121344,-117.96393265772835,0.9722997546195984
PARADISE,0719,546,509,45.98452398113895,-117.97169839480851,0.860201358795166
PARADISE,0719,486,501,46.000709388350515,-117.97480468964058,0.9125673174858093
PARADISE,0719,481,521,46.00205817228481,-117.96703895256042,0.8604574799537659
PARADISE,0719,545,505,45.984793737925806,-117.97325154222455,0.8860390782356262
PARADISE,0719,511,474,45.99396546867903,-117.98528843469882,0.7312504053115845
PARADISE,0719,512,538,45.993695711892165,-117.96043807604227,0.9886236786842346
PARADISE,0719,519,479,45.99180741438415,-117.98334700042878,0.803479015827179
PARADISE,0719,539,532,45.98641227864696,-117.96276779716632,0.9251019358634949
