burnName,date,y,x,lat,lon,predicted_prob
Pinnacle,0910,543,532,42.67579306345493,-123.91429903986747,0.98023593
Pinnacle,0910,514,452,42.68361601027385,-123.94365630830659,0.51262647
Pinnacle,0910,548,561,42.674444279520635,-123.9036570300583,0.75969017
Pinnacle,0910,547,501,42.67471403630749,-123.92567498138763,0.9997368
Pinnacle,0910,615,509,42.65637057480105,-123.92273925454371,0.70557386
Pinnacle,0910,529,528,42.67956965847096,-123.91576690328942,0.98391455
Pinnacle,0910,594,515,42.6620354673251,-123.92053745941078,0.967469
Pinnacle,0910,615,502,42.65637057480105,-123.92530801553214,0.9317631
Pinnacle,0910,448,537,42.70141995820658,-123.91246421059003,0.97241974
Pinnacle,0910,587,545,42.663923764833115,-123.90952848374612,0.95072085
Pinnacle,0910,494,555,42.68901114601105,-123.90585882519123,0.9796753
Pinnacle,0910,560,477,42.67120719807832,-123.93448216191936,0.9999241
Pinnacle,0910,592,496,42.66257498089882,-123.92750981066507,0.9610185
Pinnacle,0910,623,547,42.65421252050617,-123.90879455203513,0.7008633
Pinnacle,0910,587,504,42.663923764833115,-123.92457408382116,0.9843037
Pinnacle,0910,530,455,42.679299901684104,-123.94255541074011,0.79213023
Pinnacle,0910,508,561,42.68523455099501,-123.9036570300583,0.54625833
Pinnacle,0910,617,535,42.65583106122733,-123.913198142301,0.85155237
Pinnacle,0910,442,539,42.70303849892774,-123.91173027887905,0.96613604
Pinnacle,0910,590,500,42.66311449447254,-123.92604194724312,0.9682065
Pinnacle,0910,573,463,42.66770035984915,-123.93961968389621,0.9931057
Pinnacle,0910,594,553,42.6620354673251,-123.9065927569022,0.87007177
Pinnacle,0910,476,464,42.693866768174516,-123.93925271804072,0.89142627
Pinnacle,0910,594,531,42.6620354673251,-123.91466600572296,0.9765524
Pinnacle,0910,532,545,42.67876038811038,-123.90952848374612,0.9294796
Pinnacle,0910,401,559,42.71409852718897,-123.90439096176927,0.6891597
Pinnacle,0910,606,491,42.65879838588278,-123.92934463994251,0.6314314
Pinnacle,0910,590,542,42.66311449447254,-123.91062938131257,0.97244054
Pinnacle,0910,526,555,42.680378928831544,-123.90585882519123,0.79201114
Pinnacle,0910,614,539,42.65664033158791,-123.91173027887905,0.9227426
Pinnacle,0910,562,549,42.6706676845046,-123.90806062032416,0.91512173
Pinnacle,0910,537,550,42.677411604176086,-123.90769365446867,0.90675884
Pinnacle,0910,451,463,42.700610687846,-123.93961968389621,0.7489737
Pinnacle,0910,431,569,42.70600582358319,-123.90072130321438,0.8855438
Pinnacle,0910,429,571,42.70654533715691,-123.8999873715034,0.8910845
Pinnacle,0910,432,494,42.705736066796334,-123.92824374237605,0.93456477
Pinnacle,0910,437,525,42.70438728286204,-123.9168678008559,0.97700316
Pinnacle,0910,597,558,42.66122619696452,-123.90475792762476,0.77553076
Pinnacle,0910,413,542,42.71086144574666,-123.91062938131257,0.77951443
Pinnacle,0910,497,483,42.68820187565046,-123.93228036678643,0.9984931
Pinnacle,0910,429,534,42.70654533715691,-123.91356510815649,0.9541571
Pinnacle,0910,403,553,42.71355901361526,-123.9065927569022,0.8603229
Pinnacle,0910,591,496,42.662844737685674,-123.92750981066507,0.965996
Pinnacle,0910,487,560,42.69089944351906,-123.90402399591378,0.57135206
Pinnacle,0910,623,538,42.65421252050617,-123.91209724473454,0.76713777
Pinnacle,0910,464,546,42.69710384961683,-123.90916151789062,0.9719243
Pinnacle,0910,632,547,42.65178470942444,-123.90879455203513,0.6048832
Pinnacle,0910,601,546,42.66014716981708,-123.90916151789062,0.90743244
Pinnacle,0910,429,520,42.70654533715691,-123.91870263013334,0.79649466
Pinnacle,0910,613,547,42.656910088374765,-123.90879455203513,0.9044284
Pinnacle,0910,557,461,42.6720164684389,-123.94035361560718,0.92466503
Pinnacle,0910,521,470,42.68172771276584,-123.93705092290779,0.9941756
Pinnacle,0910,507,476,42.68550430778187,-123.93484912777485,0.999748
Pinnacle,0910,616,507,42.65610081801419,-123.9234731862547,0.7940043
Pinnacle,0910,467,550,42.696294579256254,-123.90769365446867,0.9746377
Pinnacle,0910,598,497,42.66095644017766,-123.92714284480958,0.9328613
Pinnacle,0910,575,562,42.66716084627543,-123.9032900642028,0.86110073
Pinnacle,0910,452,467,42.700340931059145,-123.93815182047425,0.718732
Pinnacle,0910,482,559,42.692248227453355,-123.90439096176927,0.7318378
Pinnacle,0910,622,538,42.654482277293035,-123.91209724473454,0.7672383
Pinnacle,0910,518,538,42.68253698312642,-123.91209724473454,0.95250404
Pinnacle,0910,398,553,42.71490779754956,-123.9065927569022,0.8671609
Pinnacle,0910,397,553,42.715177554336414,-123.9065927569022,0.8651371
Pinnacle,0910,579,500,42.66608181912799,-123.92604194724312,0.9931939
Pinnacle,0910,611,508,42.657449601948485,-123.9231062203992,0.9366014
Pinnacle,0910,569,560,42.66877938699658,-123.90402399591378,0.8656714
Pinnacle,0910,432,533,42.705736066796334,-123.91393207401198,0.9694497
Pinnacle,0910,557,489,42.6720164684389,-123.9300785716535,0.9996565
Pinnacle,0910,523,539,42.68118819919212,-123.91173027887905,0.9536982
Pinnacle,0910,459,548,42.69845263355113,-123.90842758617964,0.9511392
Pinnacle,0910,459,482,42.69845263355113,-123.93264733264192,0.9902732
Pinnacle,0910,423,516,42.708163877878064,-123.92017049355529,0.76350117
Pinnacle,0910,446,481,42.7019594717803,-123.93301429849741,0.9151151
Pinnacle,0910,576,568,42.666891089488566,-123.90108826906987,0.79322946
Pinnacle,0910,510,465,42.68469503742129,-123.93888575218523,0.99918437
Pinnacle,0910,596,523,42.66149595375138,-123.91760173256687,0.9495573
Pinnacle,0910,519,481,42.682267226339555,-123.93301429849741,0.99305856
Pinnacle,0910,433,499,42.70546631000947,-123.9264089130986,0.9754478
Pinnacle,0910,554,555,42.672825738799474,-123.90585882519123,0.74079394
Pinnacle,0910,446,542,42.7019594717803,-123.91062938131257,0.9516317
Pinnacle,0910,616,539,42.65610081801419,-123.91173027887905,0.9108359
Pinnacle,0910,567,483,42.6693189005703,-123.93228036678643,0.9999083
Pinnacle,0910,417,535,42.709782418599225,-123.913198142301,0.6203546
Pinnacle,0910,529,535,42.67956965847096,-123.913198142301,0.97089493
Pinnacle,0910,429,524,42.70654533715691,-123.91723476671139,0.9046771
Pinnacle,0910,461,541,42.69791311997741,-123.91099634716807,0.9772433
Pinnacle,0910,570,553,42.668509630209726,-123.9065927569022,0.8206552
Pinnacle,0910,521,530,42.68172771276584,-123.91503297157846,0.9826324
Pinnacle,0910,546,543,42.674983793094356,-123.9102624154571,0.9664421
Pinnacle,0910,482,467,42.692248227453355,-123.93815182047425,0.99682266
Pinnacle,0910,522,457,42.68145795597898,-123.94182147902914,0.7029089
Pinnacle,0910,571,553,42.66823987342286,-123.9065927569022,0.79483664
Pinnacle,0910,570,495,42.668509630209726,-123.92787677652056,0.9999062
Pinnacle,0910,614,549,42.65664033158791,-123.90806062032416,0.8350277
Pinnacle,0910,545,456,42.67525354988121,-123.94218844488462,0.73687506
Pinnacle,0910,434,507,42.70519655322261,-123.9234731862547,0.986336
Pinnacle,0910,431,536,42.70600582358319,-123.91283117644551,0.96367186
Pinnacle,0910,397,546,42.715177554336414,-123.90916151789062,0.9517628
Pinnacle,0910,435,501,42.70492679643576,-123.92567498138763,0.9828158
Pinnacle,0910,610,502,42.65771935873535,-123.92530801553214,0.9689595
Pinnacle,0910,560,555,42.67120719807832,-123.90585882519123,0.7987394
Pinnacle,0910,529,457,42.67956965847096,-123.94182147902914,0.9608628
Pinnacle,0910,595,499,42.66176571053824,-123.9264089130986,0.9660938
Pinnacle,0910,610,549,42.65771935873535,-123.90806062032416,0.8849456
