burnName,date,y,x,lat,lon,predicted_prob
Railroad,0724,458,336,46.836150819510785,-119.90643136752765,0.9742439985275269
Railroad,0724,467,622,46.833723008429054,-119.7936829513824,0.9986419081687927
Railroad,0724,466,553,46.83399276521591,-119.82088449234051,0.9999857544898987
Railroad,0724,527,617,46.81753760121748,-119.79565407753879,0.9999998211860657
Railroad,0724,513,714,46.821314196233516,-119.7574142301049,0.9999868869781494
Railroad,0724,445,402,46.839657657739956,-119.88041250226335,0.6107971668243408
Railroad,0724,463,557,46.83480203557649,-119.81930759141541,0.9999761581420898
Railroad,0724,509,420,46.822393223380956,-119.87331644810037,1.0
Railroad,0724,511,653,46.821853709807236,-119.7814619692128,1.0
Railroad,0724,466,401,46.83399276521591,-119.88080672749463,0.9989356994628906
Railroad,0724,457,723,46.83642057629765,-119.7538662030234,0.9915124773979187
Railroad,0724,444,262,46.83992741452682,-119.93560403464214,0.9935795068740845
Railroad,0724,582,324,46.80270097794021,-119.91116207030296,0.938164472579956
Railroad,0724,480,256,46.830216170199876,-119.9379693860298,0.9899529218673706
Railroad,0724,471,540,46.83264398128161,-119.82600942034712,0.9999436736106873
Railroad,0724,477,249,46.83102544056045,-119.94072896264875,0.9855289459228516
Railroad,0724,543,570,46.81322149262773,-119.8141826634088,0.9989690780639648
Railroad,0724,495,314,46.826169818396984,-119.91510432261573,0.9930084943771362
Railroad,0724,505,632,46.82347225052839,-119.78974069906963,0.9999997019767761
Railroad,0724,540,458,46.81403076298831,-119.85833588931183,0.9998347163200378
Railroad,0724,542,285,46.81349124941459,-119.92653685432278,0.973447322845459
Railroad,0724,452,333,46.837769360231945,-119.90761404322147,0.6632416248321533
Railroad,0724,480,597,46.830216170199876,-119.80353858216432,0.9999967217445374
Railroad,0724,542,634,46.81349124941459,-119.78895224860707,0.9195394515991211
Railroad,0724,462,709,46.83507179236335,-119.75938535626129,0.999784529209137
Railroad,0724,492,267,46.82697908875756,-119.93363290848576,0.9934906959533691
Railroad,0724,575,793,46.80458927544823,-119.72627043683401,0.6501988768577576
Railroad,0724,610,563,46.79514778790815,-119.81694224002774,0.9938557744026184
Railroad,0724,547,790,46.81214246548029,-119.72745311252784,0.8164287805557251
Railroad,0724,540,292,46.81403076298831,-119.92377727770383,0.9928902983665466
Railroad,0724,534,560,46.81564930370946,-119.81812491572157,0.9997457265853882
Railroad,0724,473,721,46.83210446770789,-119.75465465348596,0.999908447265625
Railroad,0724,462,667,46.83507179236335,-119.77594281597493,0.9993568658828735
Railroad,0724,416,230,46.84748060455888,-119.94821924204301,0.5671755075454712
Railroad,0724,457,463,46.83642057629765,-119.85636476315545,0.999912679195404
Railroad,0724,591,744,46.800273166858474,-119.7455874731666,0.9920647144317627
Railroad,0724,515,494,46.820774682659795,-119.84414378098586,0.9999200701713562
Railroad,0724,484,260,46.82913714305244,-119.9363924851047,0.9939470291137695
Railroad,0724,522,392,46.81888638515178,-119.88435475457612,0.9999341368675232
Railroad,0724,549,444,46.81160295190657,-119.86385504254972,0.9998361468315125
Railroad,0724,520,410,46.8194258987255,-119.87725870041314,1.0
Railroad,0724,441,398,46.840736684887396,-119.88198940318846,0.6432265043258667
Railroad,0724,457,312,46.83642057629765,-119.91589277307828,0.9731937050819397
Railroad,0724,492,750,46.82697908875756,-119.74322212177893,0.9991459846496582
Railroad,0724,501,657,46.82455127767583,-119.7798850682877,0.9999668598175049
Railroad,0724,543,574,46.81322149262773,-119.8126057624837,0.9976158142089844
Railroad,0724,567,502,46.806747329743104,-119.84098997913564,0.9996402859687805
Railroad,0724,528,680,46.817267844430624,-119.77081788796832,0.9998221397399902
Railroad,0724,539,433,46.814300519775166,-119.86819152009376,0.9783465266227722
Railroad,0724,453,455,46.83749960344508,-119.85951856500567,0.9982689023017883
Railroad,0724,463,493,46.83480203557649,-119.84453800621714,0.9997838735580444
Railroad,0724,506,652,46.82320249374153,-119.78185619444409,0.9999955892562866
Railroad,0724,495,248,46.826169818396984,-119.94112318788002,0.8037332892417908
Railroad,0724,507,714,46.82293273695467,-119.7574142301049,0.9998418688774109
Railroad,0724,516,442,46.82050492587294,-119.86464349301227,0.9998432993888855
Railroad,0724,456,561,46.836690333084505,-119.8177306904903,0.9999566674232483
Railroad,0724,552,590,46.810793681545995,-119.80629815878326,0.9940799474716187
Railroad,0724,601,684,46.79757559898988,-119.76924098704322,0.9912087321281433
Railroad,0724,555,627,46.80998441118542,-119.791711825226,0.9845863580703735
Railroad,0724,600,755,46.797845355776744,-119.74125099562254,0.9837945699691772
Railroad,0724,461,699,46.83534154915021,-119.76332760857406,0.9997768998146057
Railroad,0724,431,264,46.84343425275599,-119.93481558417959,0.993276059627533
Railroad,0724,473,239,46.83210446770789,-119.94467121496152,0.9094629883766174
Railroad,0724,467,688,46.833723008429054,-119.7676640861181,0.9997974634170532
Railroad,0724,524,819,46.81834687157806,-119.71602058082081,0.823131799697876
Railroad,0724,520,680,46.8194258987255,-119.77081788796832,1.0
Railroad,0724,581,710,46.80297073472707,-119.75899113103002,0.9962502121925354
Railroad,0724,588,771,46.80108243721905,-119.73494339192212,0.990380585193634
Railroad,0724,575,322,46.80458927544823,-119.91195052076552,0.9971343874931335
Railroad,0724,521,382,46.81915614193864,-119.88829700688889,0.998982310295105
