burnName,date,y,x,lat,lon,predicted_prob
Ransome,0904,503,510,48.544642163745706,-115.62233217358148,0.98933196
Ransome,0904,552,506,48.53142408118959,-115.62396196075746,0.98740643
Ransome,0904,509,560,48.54302362302455,-115.60195983388182,0.92859167
Ransome,0904,538,552,48.535200676205626,-115.60521940823376,0.9882165
Ransome,0904,551,495,48.53169383797645,-115.62844387549137,0.9847549
Ransome,0904,495,556,48.54680021804058,-115.6035896210578,0.970441
Ransome,0904,554,529,48.53088456761587,-115.61459068449561,0.9711271
Ransome,0904,546,545,48.53304262191075,-115.60807153579172,0.98193926
Ransome,0904,539,560,48.53493091941876,-115.60195983388182,0.9852216
Ransome,0904,550,531,48.53196359476331,-115.61377579090762,0.9806341
Ransome,0904,549,548,48.53223335155017,-115.60684919540974,0.9626133
Ransome,0904,493,542,48.5473397316143,-115.6092938761737,0.9860549
Ransome,0904,497,531,48.54626070446686,-115.61377579090762,0.98894805
Ransome,0904,484,516,48.54976754269604,-115.61988749281753,0.982967
Ransome,0904,546,497,48.53304262191075,-115.62762898190338,0.99366736
Ransome,0904,522,553,48.539516784795374,-115.60481196143978,0.9873705
Ransome,0904,501,549,48.54518167731943,-115.60644174861575,0.986431
Ransome,0904,487,545,48.548958272335454,-115.60807153579172,0.91245544
Ransome,0904,485,534,48.549497785909175,-115.61255345052564,0.9567674
Ransome,0904,561,514,48.528996270107854,-115.62070238640551,0.9545908
Ransome,0904,501,510,48.54518167731943,-115.62233217358148,0.98757344
Ransome,0904,537,545,48.53547043299248,-115.60807153579172,0.9888277
Ransome,0904,558,516,48.52980554046844,-115.61988749281753,0.979601
Ransome,0904,543,526,48.53385189227133,-115.6158130248776,0.9844918
Ransome,0904,535,559,48.5360099465662,-115.60236728067582,0.98516697
Ransome,0904,506,561,48.54383289338513,-115.60155238708784,0.92918223
Ransome,0904,496,517,48.546530461253724,-115.61948004602353,0.9846845
Ransome,0904,530,569,48.5373587305005,-115.59829281273589,0.74049926
Ransome,0904,548,546,48.53250310833703,-115.60766408899772,0.97484976
Ransome,0904,528,517,48.53789824407422,-115.61948004602353,0.99695385
Ransome,0904,547,523,48.53277286512389,-115.61703536525957,0.98380196
Ransome,0904,498,523,48.545990947680004,-115.61703536525957,0.9847165
Ransome,0904,479,560,48.551116326630336,-115.60195983388182,0.7614724
Ransome,0904,497,563,48.54626070446686,-115.60073749349985,0.9351026
Ransome,0904,545,538,48.53331237869761,-115.61092366334967,0.98091274
Ransome,0904,525,552,48.5387075144348,-115.60521940823376,0.991102
Ransome,0904,537,497,48.53547043299248,-115.62762898190338,0.99377126
Ransome,0904,490,519,48.54814900197488,-115.61866515243554,0.97903
Ransome,0904,527,569,48.53816800086108,-115.59829281273589,0.6572135
Ransome,0904,484,519,48.54976754269604,-115.61866515243554,0.94663906
Ransome,0904,559,521,48.529535783681574,-115.61785025884755,0.9560063
Ransome,0904,561,519,48.528996270107854,-115.61866515243554,0.91700786
Ransome,0904,489,531,48.54841875876174,-115.61377579090762,0.9829754
Ransome,0904,498,516,48.545990947680004,-115.61988749281753,0.98464745
Ransome,0904,489,510,48.54841875876174,-115.62233217358148,0.98490477
Ransome,0904,554,500,48.53088456761587,-115.62640664152141,0.9844866
Ransome,0904,550,550,48.53196359476331,-115.60603430182175,0.9271302
Ransome,0904,486,527,48.54922802912232,-115.6154055780836,0.9575879
Ransome,0904,516,572,48.541135325516535,-115.5970704723539,0.57528734
Ransome,0904,530,558,48.5373587305005,-115.60277472746981,0.9861442
Ransome,0904,544,531,48.533582135484465,-115.61377579090762,0.98387367
