burnName,date,y,x,lat,lon,predicted_prob
Skyo,0726,539,503,46.568751383018665,-121.71800633705396,0.8757650852203369
Skyo,0726,506,520,46.57765335698503,-121.71133491655604,0.8045652508735657
Skyo,0726,524,515,46.572797734821556,-121.71329709905544,0.8831663131713867
Skyo,0726,518,529,46.57441627554272,-121.70780298805715,0.902619481086731
Skyo,0726,527,530,46.57198846446098,-121.70741055155727,0.9543514251708984
Skyo,0726,523,527,46.57306749160842,-121.70858786105691,0.9102994799613953
Skyo,0726,531,502,46.570909437313546,-121.71839877355383,0.7819288372993469
Skyo,0726,544,512,46.56740259908437,-121.71447440855506,0.7772329449653625
Skyo,0726,535,543,46.569830410166105,-121.70230887705888,0.8589790463447571
Skyo,0726,535,512,46.569830410166105,-121.71447440855506,0.927968442440033
Skyo,0726,537,517,46.569290896592385,-121.71251222605568,0.9476976990699768
Skyo,0726,514,540,46.57549530269015,-121.70348618655851,0.6103941798210144
Skyo,0726,519,502,46.57414651875585,-121.71839877355383,0.8365538120269775
Skyo,0726,544,528,46.56740259908437,-121.70819542455703,0.8027947545051575
Skyo,0726,535,510,46.569830410166105,-121.71525928155482,0.915229320526123
Skyo,0726,508,538,46.57711384341131,-121.70427105955827,0.6860973834991455
Skyo,0726,542,537,46.56794211265809,-121.70466349605813,0.6047101616859436
Skyo,0726,544,506,46.56740259908437,-121.71682902755433,0.8400357961654663
Skyo,0726,530,507,46.5711791941004,-121.71643659105445,0.8355548977851868
Skyo,0726,506,528,46.57765335698503,-121.70819542455703,0.8349523544311523
Skyo,0726,525,536,46.5725279780347,-121.70505593255801,0.9539656639099121
Skyo,0726,526,531,46.57225822124784,-121.7070181150574,0.9493985176086426
Skyo,0726,538,543,46.56902113980553,-121.70230887705888,0.6833840608596802
Skyo,0726,543,521,46.56767235587123,-121.71094248005618,0.7410963773727417
Skyo,0726,536,531,46.56956065337925,-121.7070181150574,0.9662357568740845
Skyo,0726,533,520,46.570369923739825,-121.71133491655604,0.926762580871582
Skyo,0726,517,531,46.57468603232957,-121.7070181150574,0.8498532176017761
Skyo,0726,517,528,46.57468603232957,-121.70819542455703,0.8640226125717163
Skyo,0726,507,518,46.57738360019817,-121.7121197895558,0.6904497146606445
Skyo,0726,530,521,46.5711791941004,-121.71094248005618,0.8804393410682678
Skyo,0726,536,545,46.56956065337925,-121.70152400405912,0.7676990628242493
Skyo,0726,541,516,46.56821186944495,-121.71290466255556,0.9168388247489929
Skyo,0726,524,501,46.572797734821556,-121.71879121005371,0.7730537056922913
Skyo,0726,545,517,46.56713284229751,-121.71251222605568,0.7261102795600891
Skyo,0726,547,508,46.56659332872379,-121.71604415455457,0.5358378887176514
Skyo,0726,543,501,46.56767235587123,-121.71879121005371,0.689714252948761
Skyo,0726,545,521,46.56713284229751,-121.71094248005618,0.7155866622924805
Skyo,0726,505,513,46.57792311377189,-121.71408197205518,0.6310408115386963
Skyo,0726,536,518,46.56956065337925,-121.7121197895558,0.9343813061714172
Skyo,0726,535,538,46.569830410166105,-121.70427105955827,0.9429945945739746
Skyo,0726,506,519,46.57765335698503,-121.71172735305592,0.7941319346427917
Skyo,0726,519,534,46.57414651875585,-121.70584080555777,0.7996866703033447
Skyo,0726,534,521,46.57010016695296,-121.71094248005618,0.9220314621925354
Skyo,0726,527,526,46.57198846446098,-121.70898029755679,0.9070219993591309
Skyo,0726,548,502,46.566323571936934,-121.71839877355383,0.6478732824325562
Skyo,0726,539,500,46.568751383018665,-121.71918364655359,0.6360644698143005
Skyo,0726,509,540,46.576844086624455,-121.70348618655851,0.7310208678245544
Skyo,0726,530,529,46.5711791941004,-121.70780298805715,0.9478288292884827
Skyo,0726,529,542,46.57144895088726,-121.70270131355875,0.7652561664581299
Skyo,0726,527,533,46.57198846446098,-121.70623324205765,0.9558222889900208
Skyo,0726,527,507,46.57198846446098,-121.71643659105445,0.8731157779693604
Skyo,0726,521,521,46.57360700518214,-121.71094248005618,0.8759316802024841
Skyo,0726,543,502,46.56767235587123,-121.71839877355383,0.8410112261772156
Skyo,0726,528,535,46.57171870767412,-121.70544836905789,0.9538112878799438
Skyo,0726,532,505,46.57063968052668,-121.7172214640542,0.8369904160499573
Skyo,0726,528,500,46.57171870767412,-121.71918364655359,0.5992431044578552
Skyo,0726,548,514,46.566323571936934,-121.7136895355553,0.5332779288291931
Skyo,0726,520,536,46.573876761969,-121.70505593255801,0.7758659720420837
Skyo,0726,525,520,46.5725279780347,-121.71133491655604,0.8901360630989075
Skyo,0726,531,509,46.570909437313546,-121.7156517180547,0.8399353623390198
Skyo,0726,513,537,46.575765059477014,-121.70466349605813,0.7516512870788574
Skyo,0726,535,502,46.569830410166105,-121.71839877355383,0.8228006362915039
Skyo,0726,524,506,46.572797734821556,-121.71682902755433,0.8841921091079712
Skyo,0726,537,540,46.569290896592385,-121.70348618655851,0.8199077844619751
Skyo,0726,519,528,46.57414651875585,-121.70819542455703,0.8980724215507507
Skyo,0726,533,519,46.570369923739825,-121.71172735305592,0.9210458993911743
Skyo,0726,521,516,46.57360700518214,-121.71290466255556,0.8800997734069824
Skyo,0726,542,529,46.56794211265809,-121.70780298805715,0.8917559385299683
Skyo,0726,536,524,46.56956065337925,-121.70976517055654,0.9367266893386841
Skyo,0726,531,510,46.570909437313546,-121.71525928155482,0.8478702306747437
Skyo,0726,526,505,46.57225822124784,-121.7172214640542,0.8471341729164124
Skyo,0726,521,523,46.57360700518214,-121.71015760705642,0.8703974485397339
Skyo,0726,530,525,46.5711791941004,-121.70937273405666,0.8900527954101562
Skyo,0726,525,507,46.5725279780347,-121.71643659105445,0.8972417116165161
Skyo,0726,549,502,46.56605381515007,-121.71839877355383,0.734180212020874
Skyo,0726,543,534,46.56767235587123,-121.70584080555777,0.75992351770401
Skyo,0726,520,537,46.573876761969,-121.70466349605813,0.8554607033729553
Skyo,0726,524,516,46.572797734821556,-121.71290466255556,0.8798774480819702
Skyo,0726,523,505,46.57306749160842,-121.7172214640542,0.8734673857688904
Skyo,0726,509,538,46.576844086624455,-121.70427105955827,0.7660731077194214
Skyo,0726,507,529,46.57738360019817,-121.70780298805715,0.8988187909126282
Skyo,0726,534,532,46.57010016695296,-121.70662567855753,0.9630095362663269
Skyo,0726,548,506,46.566323571936934,-121.71682902755433,0.6098632216453552
Skyo,0726,528,543,46.57171870767412,-121.70230887705888,0.6645371317863464
Skyo,0726,524,507,46.572797734821556,-121.71643659105445,0.8855936527252197
Skyo,0726,520,516,46.573876761969,-121.71290466255556,0.8770097494125366
Skyo,0726,532,511,46.57063968052668,-121.71486684505494,0.9123953580856323
Skyo,0726,536,546,46.56956065337925,-121.70113156755924,0.7076713442802429
Skyo,0726,533,513,46.570369923739825,-121.71408197205518,0.9051177501678467
Skyo,0726,537,518,46.569290896592385,-121.7121197895558,0.9430030584335327
Skyo,0726,531,518,46.570909437313546,-121.7121197895558,0.8880615830421448
Skyo,0726,539,538,46.568751383018665,-121.70427105955827,0.6618880033493042
Skyo,0726,507,516,46.57738360019817,-121.71290466255556,0.5130598545074463
Skyo,0726,527,503,46.57198846446098,-121.71800633705396,0.8207883238792419
Skyo,0726,532,528,46.57063968052668,-121.70819542455703,0.9570654630661011
Skyo,0726,505,514,46.57792311377189,-121.7136895355553,0.5514509081840515
Skyo,0726,507,520,46.57738360019817,-121.71133491655604,0.8481302261352539
Skyo,0726,526,538,46.57225822124784,-121.70427105955827,0.9224807620048523
Skyo,0726,506,516,46.57765335698503,-121.71290466255556,0.5911126136779785
Skyo,0726,510,537,46.57657432983759,-121.70466349605813,0.8744109869003296
Skyo,0726,541,521,46.56821186944495,-121.71094248005618,0.9011199474334717
Skyo,0726,533,502,46.570369923739825,-121.71839877355383,0.8074861168861389
Skyo,0726,521,534,46.57360700518214,-121.70584080555777,0.9075133204460144
Skyo,0726,521,499,46.57360700518214,-121.71957608305347,0.5471318364143372
Skyo,0726,524,510,46.572797734821556,-121.71525928155482,0.878186821937561
Skyo,0726,536,509,46.56956065337925,-121.7156517180547,0.9148204922676086
Skyo,0726,528,509,46.57171870767412,-121.7156517180547,0.8442425727844238
Skyo,0726,521,501,46.57360700518214,-121.71879121005371,0.7999811172485352
Skyo,0726,530,541,46.5711791941004,-121.70309375005863,0.6928418874740601
Skyo,0726,528,523,46.57171870767412,-121.71015760705642,0.8954805135726929
Skyo,0726,548,527,46.566323571936934,-121.70858786105691,0.5068086385726929
Skyo,0726,520,509,46.573876761969,-121.7156517180547,0.8879438042640686
Skyo,0726,531,513,46.570909437313546,-121.71408197205518,0.8627365827560425
Skyo,0726,526,501,46.57225822124784,-121.71879121005371,0.7237205505371094
Skyo,0726,524,517,46.572797734821556,-121.71251222605568,0.879923939704895
Skyo,0726,530,502,46.5711791941004,-121.71839877355383,0.786797821521759
Skyo,0726,540,519,46.56848162623181,-121.71172735305592,0.9133105278015137
Skyo,0726,536,540,46.56956065337925,-121.70348618655851,0.8907186388969421
Skyo,0726,529,530,46.57144895088726,-121.70741055155727,0.9570109248161316
Skyo,0726,531,530,46.570909437313546,-121.70741055155727,0.9646247625350952
Skyo,0726,521,519,46.57360700518214,-121.71172735305592,0.8781869411468506
Skyo,0726,545,515,46.56713284229751,-121.71329709905544,0.8564449548721313
Skyo,0726,520,503,46.573876761969,-121.71800633705396,0.8798331022262573
Skyo,0726,520,531,46.573876761969,-121.7070181150574,0.8800133466720581
Skyo,0726,536,536,46.56956065337925,-121.70505593255801,0.9553828239440918
Skyo,0726,536,513,46.56956065337925,-121.71408197205518,0.9407512545585632
Skyo,0726,535,525,46.569830410166105,-121.70937273405666,0.920891523361206
Skyo,0726,548,505,46.566323571936934,-121.7172214640542,0.6206008791923523
Skyo,0726,545,505,46.56713284229751,-121.7172214640542,0.8597906231880188
Skyo,0726,534,539,46.57010016695296,-121.70387862305839,0.9228963851928711
Skyo,0726,545,528,46.56713284229751,-121.70819542455703,0.7303178906440735
Skyo,0726,537,505,46.569290896592385,-121.7172214640542,0.8790154457092285
Skyo,0726,525,533,46.5725279780347,-121.70623324205765,0.9576321244239807
Skyo,0726,520,540,46.573876761969,-121.70348618655851,0.6884004473686218
Skyo,0726,526,509,46.57225822124784,-121.7156517180547,0.8691034913063049
Skyo,0726,517,530,46.57468603232957,-121.70741055155727,0.8802751898765564
Skyo,0726,530,531,46.5711791941004,-121.7070181150574,0.960715651512146
Skyo,0726,522,535,46.573337248395276,-121.70544836905789,0.920873761177063
Skyo,0726,506,522,46.57765335698503,-121.7105500435563,0.8273137211799622
Skyo,0726,532,507,46.57063968052668,-121.71643659105445,0.8714099526405334
Skyo,0726,546,501,46.566863085510654,-121.71879121005371,0.6658561825752258
Skyo,0726,527,537,46.57198846446098,-121.70466349605813,0.9310896992683411
Skyo,0726,539,509,46.568751383018665,-121.7156517180547,0.8726820945739746
Skyo,0726,519,527,46.57414651875585,-121.70858786105691,0.888468861579895
Skyo,0726,534,520,46.57010016695296,-121.71133491655604,0.9202659726142883
Skyo,0726,538,505,46.56902113980553,-121.7172214640542,0.878773033618927
Skyo,0726,527,517,46.57198846446098,-121.71251222605568,0.880603015422821
Skyo,0726,536,502,46.56956065337925,-121.71839877355383,0.836489737033844
Skyo,0726,535,536,46.569830410166105,-121.70505593255801,0.9605547189712524
Skyo,0726,529,503,46.57144895088726,-121.71800633705396,0.82197105884552
Skyo,0726,505,507,46.57792311377189,-121.71643659105445,0.509219229221344
Skyo,0726,544,533,46.56740259908437,-121.70623324205765,0.5815296769142151
Skyo,0726,511,535,46.576304573050734,-121.70544836905789,0.7927229404449463
Skyo,0726,527,535,46.57198846446098,-121.70544836905789,0.9467158317565918
Skyo,0726,529,520,46.57144895088726,-121.71133491655604,0.889294445514679
Skyo,0726,526,529,46.57225822124784,-121.70780298805715,0.9391305446624756
Skyo,0726,536,514,46.56956065337925,-121.7136895355553,0.9470639824867249
Skyo,0726,523,501,46.57306749160842,-121.71879121005371,0.7751840949058533
Skyo,0726,532,524,46.57063968052668,-121.70976517055654,0.908816397190094
Skyo,0726,506,525,46.57765335698503,-121.70937273405666,0.8494917750358582
Skyo,0726,542,509,46.56794211265809,-121.7156517180547,0.880722165107727
Skyo,0726,531,529,46.570909437313546,-121.70780298805715,0.9572917222976685
Skyo,0726,529,546,46.57144895088726,-121.70113156755924,0.5143870115280151
Skyo,0726,535,501,46.569830410166105,-121.71879121005371,0.7919995784759521
Skyo,0726,530,528,46.5711791941004,-121.70819542455703,0.9340060353279114
Skyo,0726,539,531,46.568751383018665,-121.7070181150574,0.9281787276268005
