burnName,date,y,x,lat,lon,predicted_prob
Township,0922,500,532,42.05908175204894,-121.7088480243535,0.9720004
Township,0922,541,547,42.048021723787706,-121.70339832412434,0.99733305
Township,0922,466,532,42.06825348280216,-121.7088480243535,0.7455544
Township,0922,480,511,42.06447688778613,-121.71647760467431,0.9973725
Township,0922,554,532,42.04451488555853,-121.7088480243535,0.9979863
Township,0922,547,541,42.046403183066545,-121.705578204216,0.99905485
Township,0922,558,574,42.043435858411094,-121.69358886371185,0.9300197
Township,0922,496,533,42.06016077919638,-121.70848471100489,0.85816467
Township,0922,530,510,42.05098904844316,-121.71684091802292,0.99936575
Township,0922,554,564,42.04451488555853,-121.69722199719796,0.91578895
Township,0922,485,475,42.06312810385183,-121.7295568852243,0.9784569
Township,0922,462,487,42.069332509949604,-121.72519712504096,0.7536619
Township,0922,476,528,42.06555591493357,-121.71030127774793,0.9773742
Township,0922,457,480,42.0706812938839,-121.72774031848124,0.6260724
Township,0922,561,558,42.04262658805051,-121.69940187728962,0.7096343
Township,0922,490,481,42.061779319917534,-121.72737700513262,0.9962795
Township,0922,465,495,42.06852323958902,-121.72229061825209,0.977524
Township,0922,560,544,42.042896344837374,-121.70448826417017,0.98318845
Township,0922,556,560,42.04397537198481,-121.6986752505924,0.7785859
Township,0922,550,575,42.04559391270597,-121.69322555036324,0.72195137
Township,0922,531,506,42.0507192916563,-121.71829417141737,0.9988383
Township,0922,470,519,42.06717445565472,-121.71357109788543,0.9945204
Township,0922,469,490,42.067444212441586,-121.72410718499513,0.9775402
Township,0922,468,523,42.06771396922844,-121.71211784449099,0.99538654
Township,0922,464,481,42.06879299637588,-121.72737700513262,0.60053235
Township,0922,467,483,42.067983726015306,-121.72665037843541,0.84448904
Township,0922,513,538,42.05557491381977,-121.70666814426183,0.9889137
Township,0922,518,494,42.05422612988547,-121.72265393160069,0.9986323
Township,0922,549,554,42.045863669492824,-121.70085513068406,0.8603385
Township,0922,563,565,42.0420870744768,-121.69685868384934,0.50105816
Township,0922,523,503,42.052877345951174,-121.7193841114632,0.99928945
Township,0922,514,482,42.055305157032905,-121.72701369178402,0.77756166
Township,0922,508,483,42.056923697754065,-121.72665037843541,0.99154603
Township,0922,556,534,42.04397537198481,-121.70812139765627,0.9979313
Township,0922,458,482,42.07041153709704,-121.72701369178402,0.6481503
Township,0922,546,521,42.04667293985341,-121.7128444711882,0.9992888
Township,0922,475,513,42.065825671720425,-121.7157509779771,0.9959481
